q,A,e6,e42,e1000,score
0.03,2000,-4.500762699476161,-0.16889032138944654,-1.857473794908458e-05,-4.500762699476161
0.03,1500,-5.805429320828391,-0.20639046416298343,-2.6457794510496115e-05,-5.805429320828391
0.03,1000,-7.839083876064639,-0.25192473841278296,-3.579574543406607e-05,-7.839083876064639
0.03,800,-9.007178932403304,-0.27296955383087634,-3.99424360788432e-05,-9.007178932403304
0.03,600,-10.504794809755156,-0.2959624874507038,-4.43260828881208e-05,-10.504794809755156
0.03,500,-11.423004524720023,-0.3082745728504698,-4.660714649062996e-05,-11.423004524720023
0.05,2000,-11.50797201514488,-0.4527364403870601,-2.0531037545116335e-05,-11.50797201514488
0.03,400,-12.490080969912356,-0.3211823383994045,-4.894790876021039e-05,-12.490080969912356
0.03,300,-13.744304472318627,-0.3347295367186361,-5.134852465124214e-05,-13.744304472318627
1.0,800,-14.26886269526653,-0.08391834970970435,5.883477528715799e-05,-14.26886269526653
1.0,1000,-14.665223168356292,-0.1005617766572614,6.103094188854661e-05,-14.665223168356292
0.05,1500,-14.94289183240514,-0.557711540465825,-2.9723759743236343e-05,-14.94289183240514
0.03,200,-15.237840973669892,-0.34896433918128755,-5.380914997020044e-05,-15.237840973669892
1.0,600,-15.892205816609934,-0.06749706549558734,5.6552658767576584e-05,-15.892205816609934
0.03,100,-17.043367657129824,-0.36393990377974983,-5.632994138368323e-05,-17.043367657129824
1.0,1500,-17.472746329587316,-0.14254838961622618,6.617550017509017e-05,-17.472746329587316
0.03,0,-19.26464167454938,-0.3797150330264547,-5.8911056426866705e-05,-19.26464167454938
0.05,1000,-20.236671273998347,-0.6851708312130236,-4.071748465911869e-05,-20.236671273998347
1.0,500,-20.261498263175707,-0.05945779271615221,5.537779185792039e-05,-20.261498263175707
1.0,2000,-20.96679235691701,-0.1847465881112176,7.087657971967755e-05,-20.96679235691701
0.05,800,-23.24014681373508,-0.7441112007908548,-4.562630007860171e-05,-23.24014681373508
0.05,600,-27.0458564539975,-0.8085411096937258,-5.083036898540288e-05,-27.0458564539975
0.05,500,-29.351945532048983,-0.843057502419397,-5.354376989182306e-05,-29.351945532048983
0.05,400,-32.00400835700892,-0.8792564853769371,-5.633176222175133e-05,-32.00400835700892
0.05,300,-35.08071513565277,-0.9172630300646452,-5.9194607815155374e-05,-35.08071513565277
0.05,200,-38.68437962217109,-0.957214765577042,-6.213256972004713e-05,-38.68437962217109
0.1,2000,-41.26290742771394,-1.6990171163243222,-1.952020957369175e-05,-41.26290742771394
0.05,100,-42.949405539711485,-0.9992636098931846,-6.514591219988286e-05,-42.949405539711485
0.05,0,-48.05383312816025,-1.0435776588744776,-6.823490074127776e-05,-48.05383312816025
1.0,400,-48.66190291224702,-0.051655294368104794,5.417949465445937e-05,-48.66190291224702
0.1,1500,-53.50795035062656,-2.121266006698962,-2.9515893293879478e-05,-53.50795035062656
0.1,1000,-71.65100282385082,-2.635265457673001,-4.174436566888715e-05,-71.65100282385082
0.1,800,-81.50928025372498,-2.873423080568164,-4.727183611043635e-05,-81.50928025372498
0.1,600,-93.52122471527805,-3.134075892569817,-5.316754672356492e-05,-93.52122471527805
0.75,2000,-98.88503245984704,-0.034959325124429785,-0.0009778889999963434,-98.88503245984704
0.1,500,-100.5347628443367,-3.273838207346074,-5.625449898907237e-05,-100.5347628443367
0.1,400,-108.35328323183198,-3.420500905558397,-5.9434724178203224e-05,-108.35328323183198
0.1,300,-117.09655093187294,-3.5745770017514045,-6.270863141278866e-05,-117.09655093187294
0.1,200,-126.90209694712586,-3.736630568839591,-6.607663216031679e-05,-126.90209694712586
0.2,2000,-132.99542566705026,-5.869238195304801,-1.4465255188399959e-05,-132.99542566705026
0.1,100,-137.92616652008223,-3.907283090682393,-6.953914025126886e-05,-137.92616652008223
0.1,0,-150.34353355127035,-4.087220760684455,-7.309657189534803e-05,-150.34353355127035
0.2,1500,-170.4981320264455,-7.5378656088069445,-2.4676284939288007e-05,-170.4981320264455
0.2,1000,-221.6401242144525,-9.57257047010393,-3.79818126348614e-05,-221.6401242144525
0.3,2000,-235.30672701756856,-10.876902020779738,-8.757825009115512e-06,-235.30672701756856
0.2,800,-247.27927099566637,-10.515566149351724,-4.418921153706882e-05,-247.27927099566637
