slot,median,p95,max
a1,0.0,2.7755575615628914e-17,5.551115123125783e-17
a2,0.015898685634648413,0.03926365880649829,0.039609434516079234
a3,0.042985544749260085,0.08884502259431516,0.09087948978871407
a4,0.026642891367780988,0.0495459519054245,0.05012213676549104
a5,0.13792527317247638,0.42957973345942346,0.4564196982085912
a6,0.3366940860899006,0.592500192784706,0.5954997020445132
a7,0.2362962429863624,0.3795101827628849,0.3812384277058454
a8,0.03243821956220516,0.05056617629896386,0.05064555559380873
a9,0.13481734625372294,0.2248429191462541,0.22593367501665423
b1,0.03517351300560781,0.05714975747845822,0.05716913908807955
b2,2.7755575615628914e-17,2.220446049250313e-16,3.3306690738754696e-16
b3,0.07901592303157903,0.20404387183931882,0.20583954696791895
b4,0.13820925253140354,0.2741696107713088,0.2742742607259962
b5,0.07034702601121556,0.11429951495691644,0.11433827817615899
c1,3.8163916471489756e-17,2.0870426028889032e-16,5.286927045019131e-16
c2,0.5498795009807873,0.9645526928367318,0.9694613992070885
c4,2.7755575615628914e-17,1.0711917464156784e-16,1.942890293094024e-16
c5,0.028997573394199075,0.04299733494289517,0.04303451681598519
c6,0.16803325806720426,0.27995703461392557,0.2813645726268474
d1,0.03517351300560781,0.05714975747845822,0.05716913908807955
d2,5.551115123125783e-17,1.319880619729541e-16,2.0816681711721685e-16
d3,0.01008070408459115,0.11697952678804237,0.1260756854787475
d4,0.010235267397928315,0.015513544028051959,0.015529534475910184
e1,1.873693940855715,5.969250452734158,6.314641268704534
e2,0.7042889580033322,1.2721874525941088,1.2789556103390696
e4,0.5153649723016542,0.8205141833739598,0.8241729988043538
v1,0.0,1.8107492463359447e-16,2.0399186566992306e-16
v2,0.0,0.0,0.0
v3,0.0,0.0,0.0
v4,0.0,0.0,0.0
v5,0.0,0.0,0.0
v6,0.0,0.0,0.0
v7,0.0,0.0,0.0
v8,0.0,0.0,0.0
v9,0.0,1.9062497934286363e-16,2.0687320951514704e-16
v10,2.7755575615628914e-17,8.326672684688674e-17,8.326672684688674e-17
v11,0.0,0.0,0.0
v12,0.0,0.0,0.0
v13,0.0,0.0,0.0
