delta_a1_bump_amp,minK_L1000,neg_rows,umin,umax
-10.0,-160.49616512956302,841,0.5785819495423297,0.6037004416595027
-5.0,-105.82138828418542,792,0.5799641311191477,0.6031422529457877
-2.0,-78.5348908173128,755,0.580734963152373,0.6026106446470115
-1.0,-71.70417881265543,748,0.5813463126959656,0.6024777425723175
-0.5,-68.509780776589,740,0.5819576622395581,0.6023980013275011
-0.2,-66.7914241846708,737,0.5825690117831508,0.6023980013275011
-0.1,-66.21864079456368,733,0.5828082355176001,0.6023714209125622
-0.05,-65.93224951653521,733,0.5828879767624164,0.6023714209125622
0.0,-65.80994239969733,733,0.5829145571773553,0.6023714209125622
0.05,-66.0596642532812,733,0.5828348159325388,0.6023714209125622
0.1,-66.30938633513206,732,0.5828348159325388,0.6023714209125622
0.2,-66.80883117331678,731,0.5827550746877224,0.6023714209125622
0.5,-68.65970418249128,739,0.5818513405798029,0.6023980013275011
1.0,-72.17006674707639,887,0.5763226142725311,0.6025043229872563
2.0,-79.76041107815475,1000,0.5750733347704071,0.6032751550204817
5.0,-117.42348374344527,1097,0.5741961810774264,0.6046041757674221
10.0,-188.27802326352693,1148,0.5737443140234667,0.6053484273857087
