p,L,minK,neg_rows,neg_u_min,neg_u_max,max_K_asym
1.0,42,-62.14461871313223,995,0.5829145571773553,0.61,0.0009001667891989085
1.0,1000,-65.80994239969738,733,0.5829145571773553,0.6023714209125622,1.5837744949051547e-06
0.75,42,-62.144884923639594,995,0.5829145571773553,0.61,0.0009001667891879173
0.75,1000,-65.8099430636297,733,0.5829145571773553,0.6023714209125622,1.5837744950335242e-06
0.5,42,-62.1451995155278,995,0.5829145571773553,0.61,0.0009001667891987974
0.5,1000,-65.80994383831704,733,0.5829145571773553,0.6023714209125622,1.5837744948982158e-06
0.35,42,-62.14541516342404,995,0.5829145571773553,0.61,0.0009001667887422737
0.35,1000,-65.80994436410452,733,0.5829145571773553,0.6023714209125622,1.5837744960708888e-06
0.25,42,-62.14557146616282,995,0.5829145571773553,0.61,0.0009001667891812559
0.25,1000,-65.80994474285923,733,0.5829145571773553,0.6023714209125622,1.583774495009238e-06
0.15,42,-62.14573862252532,995,0.5829145571773553,0.61,0.0009001667889309006
0.15,1000,-65.80994514593822,733,0.5829145571773553,0.6023714209125622,1.5837744950578103e-06
0.1,42,-62.14582650643773,995,0.5829145571773553,0.61,0.000900166789106982
0.1,1000,-65.80994535709664,733,0.5829145571773553,0.6023714209125622,1.58377449468311e-06
0.05,42,-62.145917392837916,995,0.5829145571773553,0.61,0.0009001667891561649
0.05,1000,-65.80994557494584,733,0.5829145571773553,0.6023714209125622,1.5837744949988297e-06
0.02,42,-62.14597340863322,995,0.5829145571773553,0.61,0.0009001667889684262
0.02,1000,-65.809945708957,733,0.5829145571773553,0.6023714209125622,1.5837744950196464e-06
