point,u,slot,MH,SVT_delta,total
outer_S0,0.5515230871346237,a1,2.3146021209486587e-16,0.0,2.3146021209486587e-16
outer_S0,0.5515230871346237,a2,-0.19670970777454524,0.0,-0.19670970777454524
outer_S0,0.5515230871346237,a3,-0.422355081794884,0.0,-0.422355081794884
outer_S0,0.5515230871346237,a4,0.23293857857851097,0.0,0.23293857857851097
outer_S0,0.5515230871346237,a5,-2.9659164652773904,0.0,-2.9659164652773904
outer_S0,0.5515230871346237,a6,0.0,0.0,0.0
outer_S0,0.5515230871346237,a7,-0.4758240570676287,0.0,-0.4758240570676287
outer_S0,0.5515230871346237,a8,-0.23537112526818002,0.0,-0.23537112526818002
outer_S0,0.5515230871346237,a9,0.18332788492320976,0.0,0.18332788492320976
outer_S0,0.5515230871346237,b1,0.26553809405800305,0.0,0.26553809405800305
outer_S0,0.5515230871346237,b2,-1.0554113267968874e-15,0.0,-1.0554113267968874e-15
outer_S0,0.5515230871346237,b3,0.5212997920854069,0.0,0.5212997920854069
outer_S0,0.5515230871346237,b4,1.9258529715416002,0.0,1.9258529715416002
outer_S0,0.5515230871346237,b5,-0.5310761881160061,0.0,-0.5310761881160061
outer_S0,0.5515230871346237,c1,-1.0664328473406548e-15,0.0,-1.0664328473406548e-15
outer_S0,0.5515230871346237,c2,-0.0319403543925654,0.0,-0.0319403543925654
outer_S0,0.5515230871346237,c3,0.0,0.0,0.0
outer_S0,0.5515230871346237,c4,1.4228053811934144e-16,-0.0,1.4228053811934144e-16
outer_S0,0.5515230871346237,c5,-0.1974177017701932,0.0,-0.1974177017701932
outer_S0,0.5515230871346237,c6,0.15092626386946673,0.0,0.15092626386946673
outer_S0,0.5515230871346237,d1,0.26553809405800305,0.0,0.26553809405800305
outer_S0,0.5515230871346237,d2,1.4081007715429236e-16,-0.0,1.4081007715429236e-16
outer_S0,0.5515230871346237,d3,-0.06954984630678229,0.0,-0.06954984630678229
outer_S0,0.5515230871346237,d4,0.0708547247170238,0.0,0.0708547247170238
outer_S0,0.5515230871346237,e1,0.3292834491259346,0.0,0.3292834491259346
outer_S0,0.5515230871346237,e2,-0.07146721667479228,0.0,-0.07146721667479228
outer_S0,0.5515230871346237,e3,0.0,0.0,0.0
