L,min_abs_Dh1,min_abs_DeltaV,min_abs_2Lv9,finite
6,3.6183978613316925,0.2365380770979189,12.878931511934432,True
12,15.067182731621891,0.2365380770979189,25.757863023868865,True
20,42.511824307125224,0.2365380770979189,42.92977170644811,True
30,96.39194231816596,0.2365380770979189,64.39465755967217,True
42,189.75693751333833,0.2365380770979189,90.15252058354102,True
72,560.1896889370098,0.2365380770979189,154.5471781432132,True
110,1310.404281286614,0.2365380770979189,236.1137443854646,True
210,4785.346891610055,0.2365380770979189,450.7626029177051,True
420,19162.09094530218,0.2365380770979189,901.5252058354102,True
1000,108696.705810896,0.2365380770979189,2146.4885853224055,True
