L,finite_K,finite_G,finite_S,finite_M,min_eig_K,median_min_eig_K,max_h0_quadratic,max_P20_asym,max_P02_asym,max_S_sym,max_high_order,generalized_samples,nonpd_K_rows,min_gen_GK,median_gen_GK,seconds
6,True,True,True,True,-71.8344140499961,0.03689217372661045,6.217248937900877e-15,0.08967736824714123,1.7763568394002505e-15,8.381903171539307e-09,0.0,3534,1023,0.005301394042063246,0.20523924709603036,0.5350265502929688
12,True,True,True,True,-53.87017319155956,0.010809544413445947,6.217248937900877e-15,0.022204817524555054,8.881784197001252e-16,4.190951585769653e-09,0.0,3543,1020,0.005302256988831269,0.20525009738324856,0.4366641044616699
20,True,True,True,True,-58.26165019239552,0.004068147435470888,6.217248937900877e-15,0.007963255709779293,8.881784197001252e-16,1.57160684466362e-09,0.0,3543,1020,0.005302527295990213,0.20525009738324862,0.4239027500152588
30,True,True,True,True,-60.686690483821394,0.0018432380873694718,6.217248937900877e-15,0.0035324904681997005,4.440892098500626e-16,8.847564458847046e-09,0.0,3543,1020,0.005302647891804066,0.20525009738324862,0.418304443359375
42,True,True,True,True,-62.14461871313145,0.0009502284911796165,6.217248937900877e-15,0.0018003335781535679,4.440892098500626e-16,5.296897143125534e-09,0.0,3618,995,0.0036244928946208383,0.20549944099820192,0.4385097026824951
72,True,True,True,True,-63.7049186291991,0.00033324324522135147,6.217248937900877e-15,0.0006119212087445369,2.220446049250313e-16,1.0695657692849636e-09,0.0,4404,733,0.002146839739240948,0.20831251684408736,0.4547104835510254
110,True,True,True,True,-64.4861481745044,0.0001447564334195895,6.217248937900877e-15,0.00026202204502956405,2.220446049250313e-16,1.3780663721263409e-08,0.0,4404,733,0.0014187822299876042,0.20831251684408736,0.44623708724975586
210,True,True,True,True,-65.18755663994918,3.987804626816123e-05,6.217248937900877e-15,7.185725500236106e-05,1.1102230246251565e-16,2.036540536209941e-08,0.0,4404,733,0.0007505905722240414,0.20831251684408725,0.4527466297149658
420,True,True,True,True,-65.5781863679501,9.994559530682684e-06,6.217248937900877e-15,1.7959447856041866e-05,5.551115123125783e-17,2.2984750103205442e-08,0.0,4404,733,0.00037754495217280317,0.2083125168440873,0.45585036277770996
1000,True,True,True,True,-65.80994239969733,1.7649068305118953e-06,6.217248937900877e-15,3.1675489912466603e-06,1.3877787807814457e-17,1.0550138540565968e-08,0.0,4404,733,0.00015914627753316747,0.20831251684408736,0.45752668380737305
