slot,d_minEig_d_bumpAmp,d_K22_d_bumpAmp
a4,-7.043500841064087,-7.0435035226523715
a1,-4.994434654292945,-4.994395416701991
a3,-1.9526333559838347,-1.9526459027474627
d1,1.514817554948422,1.5148306118817343
b5,-1.4785869325351084,-1.478584879066602
b1,1.449325759494968,1.4493088286826603
b2,-0.9711128427625225,-0.9711006768498008
a6,0.7739784820159911,0.7739768548731262
a8,0.3922783221810277,0.39231087782809476
b4,-0.3907448850216121,-0.3907431121750298
e1,0.20176116086315707,0.20176124216699512
c1,0.07936651371664993,0.07937001100799534
a9,-0.04091050698207255,-0.040911244525432267
a2,-0.03380641999231865,-0.03380638621058721
v2,0.021970026030828135,0.021970306668867026
v6,0.012896657608507665,0.01290431868028463
v1,-0.00938745012989985,-0.009387118772875989
v4,0.005539135344776977,0.005539134670217707
b3,0.005498120512137685,0.005498319811475571
v11,0.003671659953852213,0.003683437910240172
v10,0.0029377162036325895,0.002941582977200596
a5,0.0007739785864589276,0.000773976880425812
a7,0.00039227481375420277,0.0003923067808830664
v5,-0.00023578081709274554,-0.00023577939600727402
v3,-9.841647266084091e-05,-9.842330286922879e-05
c2,0.0,0.0
c3,0.0,0.0
c4,0.0,0.0
c5,0.0,0.0
c6,0.0,0.0
d2,0.0,0.0
d3,0.0,0.0
d4,0.0,0.0
e2,0.0,0.0
e3,0.0,0.0
e4,0.0,0.0
v7,0.0,0.0
v8,0.0,0.0
v9,0.0,0.0
v12,0.0,0.0
v13,0.0,0.0
