q,L,minK,neg_rows,umin,umax
0,42,-62.144618713092655,995,0.5829145571773553,0.61
0,1000,-65.80994239969652,733,0.5829145571773553,0.6023714209125622
1,42,-62.14484704848286,995,0.5829145571773553,0.61
1,1000,-65.80994292528561,733,0.5829145571773553,0.6023714209125622
2,42,-62.14509029584346,995,0.5829145571773553,0.61
2,1000,-65.80994348156406,733,0.5829145571773553,0.6023714209125622
5,42,-62.1459085057613,995,0.5829145571773553,0.61
5,1000,-65.80994533445615,733,0.5829145571773553,0.6023714209125622
10,42,-62.14756024386326,995,0.5829145571773553,0.61
10,1000,-65.80994903559855,733,0.5829145571773553,0.6023714209125622
20,42,-62.15188206066728,995,0.5829145571773553,0.61
20,1000,-65.80995873168504,733,0.5829145571773553,0.6023714209125622
50,42,-62.17137278348469,995,0.5829145571773553,0.61
50,1000,-65.81000602744021,733,0.5829145571773553,0.6023714209125622
100,42,-62.213654658791185,995,0.5829145571773553,0.61
100,1000,-65.81014402047433,733,0.5829145571773553,0.6023714209125622
200,42,-62.282745544905026,995,0.5829145571773553,0.61
200,1000,-65.8106227592834,733,0.5829145571773553,0.6023714209125622
500,42,-62.34905827634568,995,0.5829145571773553,0.61
500,1000,-65.81308002404845,733,0.5829145571773553,0.6023714209125622
