slot,median_scaled_rel,p95_scaled_rel,max_scaled_rel,max_abs
a1,0.0,0.0,0.0,0.0
a2,6.397121572038791e-09,2.1848452724704217e-08,7.134280013458387e-06,7.134280013458387e-06
a3,0.0,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16
a4,2.7755575615628914e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17
a6,2.6421226317907553e-12,2.748077471690415e-11,2.1393464777474946e-10,2.1393464777474946e-10
a7,1.5325416198966797e-09,7.984812927519511e-09,2.954130771060104e-06,4.1852845313883336e-06
a8,2.7755575615628914e-17,8.326672684688674e-17,1.3877787807814457e-16,1.3877787807814457e-16
a9,2.6354295967756514e-09,7.041462773971219e-09,1.4059786323740942e-06,2.0069721635707083e-06
b1,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16
b2,0.0,0.0,0.0,0.0
b3,9.40711916868507e-09,8.301150154210729e-08,3.374660804205884e-05,3.546960924083464e-05
b4,0.0,2.460376899020965e-16,3.8583891560470194e-16,6.661338147750939e-16
b5,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
c1,0.0,0.0,0.0,0.0
c2,3.893292129960155e-11,3.0284995289019116e-10,3.765295541644854e-10,9.921240717858382e-09
c4,4.434386885465713e-17,3.7094091769125026e-16,8.569524023258072e-16,2.6645352591003757e-15
c5,5.629055832567786e-10,1.4581929330681464e-09,3.262538880999255e-07,5.439685386576798e-07
c6,6.439410319262009e-10,2.105449120604062e-09,5.723798330303786e-07,8.915197504677508e-07
d1,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16
d2,5.811323644522304e-17,4.4050357783637133e-16,8.439977093802593e-16,2.6645352591003757e-15
d3,1.1077117389331264e-07,7.391357771010784e-07,0.03632029532204301,0.0961463506836111
d4,4.147654442121507e-12,4.7716508522199746e-11,9.113243493175105e-11,9.113243493175105e-11
e1,9.260753689335116e-09,1.6247840434885358e-07,6.949732258265673e-05,6.949732258265673e-05
e2,4.748324114488685e-11,3.3275647877742176e-10,4.121003378887193e-10,1.2650389180635102e-08
e4,1.501731502353686e-06,1.720974515760768e-05,0.25374308105219306,24.00908819675088
v1,6.951651593277846e-11,2.3093623420267286e-10,2.8907548614846955e-10,3.4672957838211005e-09
v2,3.8925814823877346e-11,2.1898078425750891e-10,2.8907548524870214e-10,5.009578529779901e-09
v3,2.7556048649065394e-11,1.2330788041992961e-10,1.6534456978045482e-10,4.480853021959774e-09
v4,1.149382811149735e-10,9.161784220168556e-10,1.5155912080899725e-09,1.5155912080899725e-09
v6,5.551115123125783e-17,2.9395559164830795e-16,6.467834275214453e-16,1.3322676295501878e-15
v7,1.0127161324762312e-11,1.7892354412772903e-10,2.883945891033567e-10,1.8094699072435105e-09
v8,6.611839545892641e-08,3.035883856229759e-07,3.240174680442326e-07,1.2157204221097118e-06
v9,5.322380572894616e-07,1.8204314403841596e-06,1.3474865479009534e-05,2.4951213604573752e-05
v10,4.344960274904608e-08,1.4294095541100837e-07,1.1225595649699827e-06,1.1225595649699827e-06
v11,5.551115123125783e-17,2.220446049250313e-16,6.467834275214453e-16,6.661338147750939e-16
v12,1.3877787807814457e-17,2.5206759210548323e-16,6.562865693509437e-16,1.7763568394002505e-15
v13,6.830990671315108e-06,0.00015434887304250535,1.503807337816906,13.171991631475258
