quantity,outer_u061,svt_u061,difference,relative_difference
c2,-31.77150269580488,54.77125224555108,86.54275494135597,1.5800762515592401
f3X_integrated,-23.14956034666935,44.728354923533175,67.87791527020252,1.5175589485963756
HFY,-4.439246947318464,17.791887312844633,22.231134260163095,1.2495096146496838
HXY,-1.611626980805589,12.732984882421588,14.344611863227177,1.126571027586038
HXX,-0.1944628889995126,1.6950376085571597,1.8895004975566723,1.1147248226339015
HYY,-2.7823586199152883,25.57470786203868,28.357066481953968,1.1087933686251497
HXF,-0.4249057982606756,6.8663154648987685,7.291221263159444,1.0618826502267238
f2X,-6.750105250079869,145.67690272357402,152.42700797365387,1.0463361392498052
H_norm,6.261048383704479,38.176121460800005,31.915073077095528,0.8359956919632748
HFF,2.98941325951116,16.572596924871547,13.583183665360387,0.8196170900032718
M22_0,-1087.171381423212,-333.4576509127704,753.7137305104417,0.6932795908624432
even_cOmega_minus2,1484.1745696129497,474.7804237698008,-1009.3941458431489,0.6801047306088688
even_angular_cond56,4412738.636122759,1420178.1820509566,-2992560.454071803,0.6781639931208815
even_angular_discriminant,2217178.283776004,6332526.261677424,4115347.9779014206,0.6498746010429185
v13,93.66540110770627,50.85630111472125,-42.809099992985026,0.4570428299747379
e4,367.44208156084096,206.9016114738674,-160.54047008697356,0.4369136746804307
even_angular_cond55,4457.368374755113,3466.011971976042,-991.3564027790712,0.2224084525734394
even_cOmega_plus2,2973.1938051421635,2991.2315482062413,18.03774306407786,0.006030206212185276
K_even_corrected,0.9639140332379784,0.963915063812136,1.0305741575677985e-06,1.0305741575677985e-06
odd_vector_cr2,9.4588627234015,9.458870488366266,7.764964765399895e-06,8.209188163587023e-07
v1,20.0985591046953,20.09857175106137,1.264636606990166e-05,6.292171516731694e-07
f3,-0.594560364774424,-0.5945608539519593,-4.891775353677019e-07,4.891775353677019e-07
Codd,0.7607205467026892,0.7607210253614061,4.786587168847944e-07,4.786587168847944e-07
K_ZK_exact,10.541544612169224,10.541549191507215,4.579337991472698e-06,4.344084449335052e-07
odd_tensor_cOmega2,8.798708897895553,8.798710869126063,1.9712305103780636e-06,2.240362866445522e-07
alpha7,2.0015296780624863,2.001530117217264,4.391547778759275e-07,2.1940952778991218e-07
odd_vector_angular_margin_lb,8.006118712249945,8.006120468869057,1.75661911150371e-06,2.1940952778991218e-07
f4,-0.8432333746909688,-0.8432335872625503,-2.1257158144827315e-07,2.1257158144827315e-07
alpha4,1.851685543239114,1.8516851882676897,-3.5497142425455763e-07,1.917017851927567e-07
N4,0.0928683447043296,0.0928684506770828,1.0597275319768062e-07,1.0597275319768062e-07
alpha6,-0.333026791036043,-0.3330268656461453,-7.461010231857301e-08,7.461010231857301e-08
control_sigma_min,1.239313583559133,1.2393135748784354,-8.680697494156675e-09,7.0044398845584684e-09
odd_tensor_cr2,1.0050693972032223,1.0050694018534374,4.650215101875688e-09,4.626760195166898e-09
f2,-1.061627285820907,-1.0616272823486286,3.472278464755618e-09,3.270713282459264e-09
A0prime,1.444808713548717,1.4448087103799905,-3.168726614433126e-09,2.1931807198547053e-09
Ephi_residual,-2.8421709430404014e-14,1.4210854715202006e-13,1.7053025658242407e-13,1.7053025658242407e-13
even_scalar_cr2,1.0000000000000002,1.0,-2.220446049250313e-16,2.2204460492503126e-16
tilde_f3,0.0,0.0,0.0,0.0
even_vector_cOmega2,1.0,1.0,0.0,0.0
v4,0.0,0.0,0.0,0.0
