j,a,b,dvend,minK,minA7,maxA6,minOdd,maxdf4
0,0.612,0.635,0.2703106490163818,-14.140221088387765,0.3373944742438862,-0.056713798017040795,0.5287546756399518,1.0
1,0.622,0.65,0.3032438485169635,-13.946618372086913,0.407028005385475,-0.06401053254693027,0.5357696592227396,1.0
2,0.635,0.665,0.2936244174785876,-14.00316762956994,0.49766079714347194,-0.0721769412003301,0.5396671804753959,1.0
3,0.648,0.68,0.28526329779290194,-14.052319716431004,0.6646603256427069,-0.08859393869014608,0.5459306309081384,1.0
4,0.66,0.69,0.2514143583955808,-14.251305746048576,0.943550757718886,-0.11797779792681135,0.5527940179969547,1.0
5,0.672,0.7,0.2244930650254786,-14.40956657711942,1.5276300885303702,-0.18186882692826925,0.5694534016114818,1.0
6,0.682,0.706,0.18882334908898324,-14.619256312696535,2.0015301172172646,-0.2790585271056362,0.5946808769464561,1.0
7,0.69,0.7085,0.14466337506824667,-14.878857294436514,2.0015301172172646,-0.33302686564613804,0.6273617583315493,1.0
8,0.696,0.7092,0.10308183361119383,-15.123300576478389,2.0015301172172646,-0.33302686564613804,0.6570444264889052,1.0
9,0.702,0.7095,0.05860307290244471,-15.384775593224251,2.0015301172172646,-0.33302686564613804,0.6570444266355119,1.0
10,,,-0.024640847446931957,-15.874137372206171,2.0015301172172646,-0.32032537173986175,0.5914316559576553,0.3589743277604324
11,,,-0.009196527130826304,-15.783345635904762,2.0015301172172646,-0.33302686564613804,0.6443204540573213,0.3589742793316211
12,,,-0.0007337511293297183,-15.733595947256795,2.0015301172172646,-0.33302686564613804,0.6570444264891182,0.35897440426060917
