name,status,value,criterion,evidence,level
geometry_f_positive,PASS,0.2500000000000079,> 0,ssz_p5_F2A_GLOBAL_CANONICAL_KRG_PRINCIPAL_CINF_FINAL_2026-09-15(2).csv,constructive
geometry_h_positive,PASS,0.3268566655925778,> 0,ssz_p5_F2A_GLOBAL_CANONICAL_KRG_PRINCIPAL_CINF_FINAL_2026-09-15(2).csv,constructive
principal_cT2_positive,PASS,0.999262399874648,> 0,ssz_p5_F2A_GLOBAL_CANONICAL_KRG_PRINCIPAL_CINF_FINAL_2026-09-15(2).csv,constructive
principal_cS2_positive,PASS,0.9037451776188076,> 0,ssz_p5_F2A_GLOBAL_CANONICAL_KRG_PRINCIPAL_CINF_FINAL_2026-09-15(2).csv,constructive
principal_cV2_positive,PASS,1.0,> 0,ssz_p5_F2A_GLOBAL_CANONICAL_KRG_PRINCIPAL_CINF_FINAL_2026-09-15(2).csv,constructive
global_principal_R_zero,PASS,0.0,<1e-12,ssz_p5_F2A_GLOBAL_CANONICAL_KRG_PRINCIPAL_CINF_FINAL_2026-09-15(2).csv,constructive
principal_stream_rows,PASS,45617,>=40000,ssz_p5_F2A_GLOBAL_CANONICAL_KRG_PRINCIPAL_CINF_FINAL_2026-09-15(2).csv,constructive
outer_handover_actual_residual_E00,PASS,1.8041124150158799e-16,<1e-12,ssz_p5_shared_baseline_assembly_validation_2026-09-16(1).csv,constructive
outer_handover_actual_residual_E11,PASS,3.226585665316861e-16,<1e-12,ssz_p5_shared_baseline_assembly_validation_2026-09-16(1).csv,constructive
outer_handover_vector_current_JA,PASS,1.6325426905854336e-15,<1e-12,ssz_p5_shared_baseline_assembly_validation_2026-09-16(1).csv,constructive
inner_handover_actual_residual_E00,PASS,8.881784197001252e-16,<1e-12,ssz_p5_shared_baseline_assembly_validation_2026-09-16(1).csv,constructive
inner_handover_actual_residual_E11,PASS,4.6629367034256575e-15,<1e-12,ssz_p5_shared_baseline_assembly_validation_2026-09-16(1).csv,constructive
inner_handover_vector_current_JA,PASS,3.072770957065496e-15,<1e-12,ssz_p5_shared_baseline_assembly_validation_2026-09-16(1).csv,constructive
center_handover_rank,PASS,3.0,>=3,ssz_p5_F1b_FINAL_Cinf_center_to_punctured_handover_2026-09-14.csv,constructive
center_handover_condition,PASS,2.449490659010719,<10,ssz_p5_F1b_FINAL_Cinf_center_to_punctured_handover_2026-09-14.csv,constructive
center_handover_rel_residual,PASS,2.538375275598637e-08,<1e-6,ssz_p5_F1b_FINAL_Cinf_center_to_punctured_handover_2026-09-14.csv,constructive
center_tensor_F,PASS,0.9999999770884102,>0,ssz_p5_F1b_FINAL_Cinf_center_to_punctured_handover_2026-09-14.csv,constructive
center_tensor_H,PASS,0.9999996407448842,>0,ssz_p5_F1b_FINAL_Cinf_center_to_punctured_handover_2026-09-14.csv,constructive
analytic_center_kinetic,PASS_EXACT,0.00274375128377,coefficient of r^4 > 0,F1b analytic Taylor certificate,constructive
strongH_F_tensor_positive,PASS,0.7848268111217971,>0,ssz_p5_F2_horndeski_carrier_unreduced_39of41_CORRECTED_2026-09-14.csv,constructive
strongH_G_tensor_positive,PASS,0.7848268111217971,>0,ssz_p5_F2_horndeski_carrier_unreduced_39of41_CORRECTED_2026-09-14.csv,constructive
strongH_H_tensor_positive,PASS,0.7848268111217971,>0,ssz_p5_F2_horndeski_carrier_unreduced_39of41_CORRECTED_2026-09-14.csv,constructive
strongH_K_scalar_positive,PASS,0.0097422527595834,>0,ssz_p5_F2_horndeski_carrier_unreduced_39of41_CORRECTED_2026-09-14.csv,constructive
strongH_crS2_positive,PASS,0.999999999999986,>0,ssz_p5_F2_horndeski_carrier_unreduced_39of41_CORRECTED_2026-09-14.csv,constructive
strongH_kappa_nonnegative,PASS,0.09883837302401212,>=0,ssz_p5_F2_horndeski_carrier_unreduced_39of41_CORRECTED_2026-09-14.csv,constructive
core_F_tensor_positive,PASS,1.0,>0,ssz_p5_F2_core_punctured_horndeski_unreduced_39of41_2026-09-14.csv,constructive
core_G_tensor_positive,PASS,0.9996310638951968,>0,ssz_p5_F2_core_punctured_horndeski_unreduced_39of41_2026-09-14.csv,constructive
core_H_tensor_positive,PASS,0.9996310638951968,>0,ssz_p5_F2_core_punctured_horndeski_unreduced_39of41_2026-09-14.csv,constructive
core_K_scalar_positive,PASS,7.331670016895128e-06,>0,ssz_p5_F2_core_punctured_horndeski_unreduced_39of41_2026-09-14.csv,constructive
core_crS2_positive,PASS,0.9999999999999996,>0,ssz_p5_F2_core_punctured_horndeski_unreduced_39of41_2026-09-14.csv,constructive
core_kappa_nonnegative,PASS,1.8582154272635095e-10,>=0,ssz_p5_F2_core_punctured_horndeski_unreduced_39of41_2026-09-14.csv,constructive
MH_finite_l_no_ghost_theorem,PASS_EXACT,,"F>0, G2F=1>0, K_scalar>0 on certified Horndeski patches",Kase-Tsujikawa 2023 Eqs. 4.27-4.31,constructive
horndeski_control_rank,PASS,5.0,>=5,ssz_p5_full_horndeski_principal_control_rank_2026-09-12.csv,constructive
horndeski_control_sigma_min,PASS,0.007141457821951,>0,ssz_p5_full_horndeski_principal_control_rank_2026-09-12.csv,constructive
ZK_K_ZK_exact,PASS,10.541549191507215,>0,ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,constructive
ZK_even_tensor_cr2_exact,PASS,1.0050694018534372,>0,ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,constructive
ZK_even_scalar_cr2_exact,PASS,0.9037451776188076,>0,ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,constructive
ZK_even_vector_cr2_exact,PASS,9.458870488366266,>0,ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,constructive
ZK_Codd,PASS,0.7607210253614061,>0,ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,constructive
ZK_alpha4,PASS,0.0099958944316682,>0,ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,constructive
ZK_alpha7,PASS,2.001530117217264,>0,ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,constructive
ZK_alpha6_negative,PASS,-0.3330268656461453,<0,ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,constructive
ZK_K_e1_identity,PASS,2.1782398107461631e-10,<1e-8,ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,constructive
41_slot_schema_complete,PASS,[],no missing slots,ssz_p5_integrable_svt_unreduced_even_coefficients_2026-09-12.csv,constructive
41_slot_reference_finite_except_selected_LO,PASS,[],all raw slots finite except deliberately deferred c3/e3,ssz_p5_integrable_svt_unreduced_even_coefficients_2026-09-12.csv,constructive
41_slot_c3_e3_selected,PASS,"{'rows': 4000, 'file': 'ssz_p5_F2b_central_c3_e3_SELECTED_REPRESENTATIVE_2026-09-15.csv'}",finite c3_selected/e3_selected action representative,ssz_p5_F2b_central_c3_e3_SELECTED_REPRESENTATIVE_2026-09-15.csv,constructive
strong-H a5 identity regression,PASS,0.0006636211581147,median <1e-5; max <1e-3,ssz_p5_holonomic_a5_gate_status_2026-09-16.csv,constructive
core a5 selection convergence,PASS,0.0001495892109944,median <1e-5; max <5e-4,ssz_p5_holonomic_a5_gate_status_2026-09-16.csv,constructive
core selected a1 stays in archived control tube,PASS,0.0001877439719886,median <1e-5; max <5e-4,ssz_p5_holonomic_a5_gate_status_2026-09-16.csv,constructive
constraint_map_audit_present,PASS,10,>0 rows,ssz_p5_full_constraint_maps_JET9D8_audit_2026-09-16(1).csv,constructive
HSVT_epsY_nontrivial,PASS_EXACT,0.01,epsilon != 0,Delta f2=epsilon Y,constructive
HSVT_epsY_background_null,PASS_EXACT,0.0,Delta E00=Delta E11=Delta Ephi=Delta EA=0 at A0'=0,Y is quadratic in F_mu_nu; epsilon constant,constructive
HSVT_epsY_kappa_max,PASS,0.6354409670384762,finite,"ssz_p5_F2_horndeski_carrier_unreduced_39of41_CORRECTED_2026-09-14.csv, ssz_p5_F2_core_punctured_horndeski_unreduced_39of41_2026-09-14.csv",constructive
HSVT_epsY_ZA_min,PASS_EXACT,0.9872911806592305,>0,ZA=1-2*kappa*epsilon,constructive
HSVT_epsY_odd_vector_stability,PASS_EXACT,,"alpha4>0, alpha6<0, alpha7>0, alpha2^2-alpha1*alpha5>0, alpha8^2-4alpha7*alpha9>0","Zhang-Kase odd-sector formulas with A0'=0, f3=f4=0",constructive
HSVT_epsY_quadratic_factorization,PASS_EXACT,,no scalar/metric-vector mixing from epsilon Y at F_mu_nu=0,"constant epsilon; Appendix-A delta has only pure-vector slots v1,v10",constructive
DIRECT_GLOBAL_KRGM_EXPORT,OPEN,,dedicated direct regenerated-action certificate required,not inferred from old selected/split tables,implementation
