name,status,value,criterion,evidence,level
geometry_f_positive,PASS,0.2500000000000079,> 0,ssz_p5_F2A_GLOBAL_CANONICAL_KRG_PRINCIPAL_CINF_FINAL_2026-09-15(2).csv,constructive
geometry_h_positive,PASS,0.3268566655925778,> 0,ssz_p5_F2A_GLOBAL_CANONICAL_KRG_PRINCIPAL_CINF_FINAL_2026-09-15(2).csv,constructive
principal_cT2_positive,PASS,0.999262399874648,> 0,ssz_p5_F2A_GLOBAL_CANONICAL_KRG_PRINCIPAL_CINF_FINAL_2026-09-15(2).csv,constructive
principal_cS2_positive,PASS,0.9037451776188076,> 0,ssz_p5_F2A_GLOBAL_CANONICAL_KRG_PRINCIPAL_CINF_FINAL_2026-09-15(2).csv,constructive
principal_cV2_positive,PASS,1.0,> 0,ssz_p5_F2A_GLOBAL_CANONICAL_KRG_PRINCIPAL_CINF_FINAL_2026-09-15(2).csv,constructive
global_principal_R_zero,PASS,0.0,<1e-12,ssz_p5_F2A_GLOBAL_CANONICAL_KRG_PRINCIPAL_CINF_FINAL_2026-09-15(2).csv,constructive
principal_stream_rows,PASS,45617,>=40000,ssz_p5_F2A_GLOBAL_CANONICAL_KRG_PRINCIPAL_CINF_FINAL_2026-09-15(2).csv,constructive
outer_handover_actual_residual_E00,PASS,1.8041124150158799e-16,<1e-12,ssz_p5_shared_baseline_assembly_validation_2026-09-16(1).csv,constructive
outer_handover_actual_residual_E11,PASS,3.226585665316861e-16,<1e-12,ssz_p5_shared_baseline_assembly_validation_2026-09-16(1).csv,constructive
outer_handover_vector_current_JA,PASS,1.6325426905854336e-15,<1e-12,ssz_p5_shared_baseline_assembly_validation_2026-09-16(1).csv,constructive
inner_handover_actual_residual_E00,PASS,8.881784197001252e-16,<1e-12,ssz_p5_shared_baseline_assembly_validation_2026-09-16(1).csv,constructive
inner_handover_actual_residual_E11,PASS,4.6629367034256575e-15,<1e-12,ssz_p5_shared_baseline_assembly_validation_2026-09-16(1).csv,constructive
inner_handover_vector_current_JA,PASS,3.072770957065496e-15,<1e-12,ssz_p5_shared_baseline_assembly_validation_2026-09-16(1).csv,constructive
center_handover_rank,PASS,3.0,>=3,ssz_p5_F1b_FINAL_Cinf_center_to_punctured_handover_2026-09-14.csv,constructive
center_handover_condition,PASS,2.449490659010719,<10,ssz_p5_F1b_FINAL_Cinf_center_to_punctured_handover_2026-09-14.csv,constructive
center_handover_rel_residual,PASS,2.538375275598637e-08,<1e-6,ssz_p5_F1b_FINAL_Cinf_center_to_punctured_handover_2026-09-14.csv,constructive
center_tensor_F,PASS,0.9999999770884102,>0,ssz_p5_F1b_FINAL_Cinf_center_to_punctured_handover_2026-09-14.csv,constructive
center_tensor_H,PASS,0.9999996407448842,>0,ssz_p5_F1b_FINAL_Cinf_center_to_punctured_handover_2026-09-14.csv,constructive
analytic_center_kinetic,PASS_EXACT,0.00274375128377,coefficient of r^4 > 0,F1b analytic Taylor certificate,constructive
strongH_F_tensor_positive,PASS,0.7848268111217971,>0,ssz_p5_F2_horndeski_carrier_unreduced_39of41_CORRECTED_2026-09-14.csv,constructive
strongH_G_tensor_positive,PASS,0.7848268111217971,>0,ssz_p5_F2_horndeski_carrier_unreduced_39of41_CORRECTED_2026-09-14.csv,constructive
strongH_H_tensor_positive,PASS,0.7848268111217971,>0,ssz_p5_F2_horndeski_carrier_unreduced_39of41_CORRECTED_2026-09-14.csv,constructive
strongH_K_scalar_positive,PASS,0.0097422527595834,>0,ssz_p5_F2_horndeski_carrier_unreduced_39of41_CORRECTED_2026-09-14.csv,constructive
strongH_crS2_positive,PASS,0.999999999999986,>0,ssz_p5_F2_horndeski_carrier_unreduced_39of41_CORRECTED_2026-09-14.csv,constructive
strongH_kappa_nonnegative,PASS,0.09883837302401212,>=0,ssz_p5_F2_horndeski_carrier_unreduced_39of41_CORRECTED_2026-09-14.csv,constructive
core_F_tensor_positive,PASS,1.0,>0,ssz_p5_F2_core_punctured_horndeski_unreduced_39of41_2026-09-14.csv,constructive
core_G_tensor_positive,PASS,0.9996310638951968,>0,ssz_p5_F2_core_punctured_horndeski_unreduced_39of41_2026-09-14.csv,constructive
core_H_tensor_positive,PASS,0.9996310638951968,>0,ssz_p5_F2_core_punctured_horndeski_unreduced_39of41_2026-09-14.csv,constructive
core_K_scalar_positive,PASS,7.331670016895128e-06,>0,ssz_p5_F2_core_punctured_horndeski_unreduced_39of41_2026-09-14.csv,constructive
core_crS2_positive,PASS,0.9999999999999996,>0,ssz_p5_F2_core_punctured_horndeski_unreduced_39of41_2026-09-14.csv,constructive
core_kappa_nonnegative,PASS,1.8582154272635095e-10,>=0,ssz_p5_F2_core_punctured_horndeski_unreduced_39of41_2026-09-14.csv,constructive
MH_finite_l_no_ghost_theorem,PASS_EXACT,,"F>0, G2F=1>0, K_scalar>0 on certified Horndeski patches",Kase-Tsujikawa 2023 Eqs. 4.27-4.31,constructive
horndeski_control_rank,PASS,5.0,>=5,ssz_p5_full_horndeski_principal_control_rank_2026-09-12.csv,constructive
horndeski_control_sigma_min,PASS,0.007141457821951,>0,ssz_p5_full_horndeski_principal_control_rank_2026-09-12.csv,constructive
ZK_K_ZK_exact,PASS,10.541549191507215,>0,ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,constructive
ZK_even_tensor_cr2_exact,PASS,1.0050694018534372,>0,ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,constructive
ZK_even_scalar_cr2_exact,PASS,0.9037451776188076,>0,ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,constructive
ZK_even_vector_cr2_exact,PASS,9.458870488366266,>0,ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,constructive
ZK_Codd,PASS,0.7607210253614061,>0,ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,constructive
ZK_alpha4,PASS,0.0099958944316682,>0,ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,constructive
ZK_alpha7,PASS,2.001530117217264,>0,ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,constructive
ZK_alpha6_negative,PASS,-0.3330268656461453,<0,ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,constructive
ZK_K_e1_identity,PASS,2.1782398107461631e-10,<1e-8,ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,constructive
41_slot_schema_complete,PASS,[],no missing slots,ssz_p5_integrable_svt_unreduced_even_coefficients_2026-09-12.csv,constructive
41_slot_reference_finite_except_selected_LO,PASS,[],all raw slots finite except deliberately deferred c3/e3,ssz_p5_integrable_svt_unreduced_even_coefficients_2026-09-12.csv,constructive
41_slot_c3_e3_selected,PASS,"{'rows': 4000, 'file': 'ssz_p5_F2b_central_c3_e3_SELECTED_REPRESENTATIVE_2026-09-15.csv'}",finite c3_selected/e3_selected action representative,ssz_p5_F2b_central_c3_e3_SELECTED_REPRESENTATIVE_2026-09-15.csv,constructive
strong-H a5 identity regression,PASS,0.0006636211581147,median <1e-5; max <1e-3,ssz_p5_holonomic_a5_gate_status_2026-09-16.csv,constructive
core a5 selection convergence,PASS,0.0001495892109944,median <1e-5; max <5e-4,ssz_p5_holonomic_a5_gate_status_2026-09-16.csv,constructive
core selected a1 stays in archived control tube,PASS,0.0001877439719886,median <1e-5; max <5e-4,ssz_p5_holonomic_a5_gate_status_2026-09-16.csv,constructive
constraint_map_audit_present,PASS,10,>0 rows,ssz_p5_full_constraint_maps_JET9D8_audit_2026-09-16(1).csv,constructive
HSVT_epsY_nontrivial,PASS_EXACT,0.01,epsilon != 0,Delta f2=epsilon Y,constructive
HSVT_epsY_background_null,PASS_EXACT,0.0,Delta E00=Delta E11=Delta Ephi=Delta EA=0 at A0'=0,Y is quadratic in F_mu_nu; epsilon constant,constructive
HSVT_epsY_kappa_max,PASS,0.6354409670384762,finite,"ssz_p5_F2_horndeski_carrier_unreduced_39of41_CORRECTED_2026-09-14.csv, ssz_p5_F2_core_punctured_horndeski_unreduced_39of41_2026-09-14.csv",constructive
HSVT_epsY_ZA_min,PASS_EXACT,0.9872911806592305,>0,ZA=1-2*kappa*epsilon,constructive
HSVT_epsY_odd_vector_stability,PASS_EXACT,,"alpha4>0, alpha6<0, alpha7>0, alpha2^2-alpha1*alpha5>0, alpha8^2-4alpha7*alpha9>0","Zhang-Kase odd-sector formulas with A0'=0, f3=f4=0",constructive
HSVT_epsY_quadratic_factorization,PASS_EXACT,,no scalar/metric-vector mixing from epsilon Y at F_mu_nu=0,"constant epsilon; Appendix-A delta has only pure-vector slots v1,v10",constructive
strongH_direct_L6,PASS,"{'min_eig_K': 0.0017061921843635336, 'min_radial': 0.04482171781358031}",min eig K>0 and min eig(K^-1/2 G K^-1/2)>0,ssz_p5_carrier_corr_41of41_2026-09-16.csv,numerical
strongH_direct_L12,PASS,"{'min_eig_K': 0.0018518165739517655, 'min_radial': 0.07045219958232046}",min eig K>0 and min eig(K^-1/2 G K^-1/2)>0,ssz_p5_carrier_corr_41of41_2026-09-16.csv,numerical
strongH_direct_L20,PASS,"{'min_eig_K': 0.0005868878577195103, 'min_radial': 0.08482412689288205}",min eig K>0 and min eig(K^-1/2 G K^-1/2)>0,ssz_p5_carrier_corr_41of41_2026-09-16.csv,numerical
strongH_direct_L42,PASS,"{'min_eig_K': 0.00011248482008172187, 'min_radial': 0.0970702096475429}",min eig K>0 and min eig(K^-1/2 G K^-1/2)>0,ssz_p5_carrier_corr_41of41_2026-09-16.csv,numerical
strongH_direct_L110,PASS,"{'min_eig_K': 1.4419103698320762e-05, 'min_radial': 0.1015342843916583}",min eig K>0 and min eig(K^-1/2 G K^-1/2)>0,ssz_p5_carrier_corr_41of41_2026-09-16.csv,numerical
strongH_direct_L420,PASS,"{'min_eig_K': 9.236242703259943e-07, 'min_radial': 0.10309085330228254}",min eig K>0 and min eig(K^-1/2 G K^-1/2)>0,ssz_p5_carrier_corr_41of41_2026-09-16.csv,numerical
strongH_direct_L1000,PASS,"{'min_eig_K': 1.6051628619744887e-07, 'min_radial': 0.10338138656343974}",min eig K>0 and min eig(K^-1/2 G K^-1/2)>0,ssz_p5_carrier_corr_41of41_2026-09-16.csv,numerical
DIRECT_GLOBAL_KRGM_EXPORT,OPEN,,dedicated direct regenerated-action certificate required,not inferred from old selected/split tables,implementation
sha256:CITATION.cff,PASS,c09dab3bb58d5617a2d70bbf882b73089006884a74fb7472dcd98bc6c48eb201,c09dab3bb58d5617a2d70bbf882b73089006884a74fb7472dcd98bc6c48eb201,MANIFEST.json,implementation
sha256:CODEX_PROMPT.md,PASS,445c210a324a5abc2b3652b79964da277a5d1df432a7e29bc2435190ac512f2f,445c210a324a5abc2b3652b79964da277a5d1df432a7e29bc2435190ac512f2f,MANIFEST.json,implementation
sha256:FILE_INDEX.md,PASS,1c7ba69ced40bc1cf7c28afebe1ab9042a9939c5710a9f32496b88921f76b82e,1c7ba69ced40bc1cf7c28afebe1ab9042a9939c5710a9f32496b88921f76b82e,MANIFEST.json,implementation
sha256:README_FOR_CODEX.md,PASS,55cd5ea1764c71880b1876928ce0b1625694e54e1ff567d52253fb60d5ea8280,55cd5ea1764c71880b1876928ce0b1625694e54e1ff567d52253fb60d5ea8280,MANIFEST.json,implementation
sha256:SSZ_P5_HSVT_ACTION_MEMBER_2026-09-16.json,PASS,742d7c1dbfa06d9870b69f2b95ae1b764b1c3083aea16d968cae5d8e136cf684,742d7c1dbfa06d9870b69f2b95ae1b764b1c3083aea16d968cae5d8e136cf684,MANIFEST.json,implementation
sha256:STATUS_FULL_CLOSURE.md,PASS,1e4713622998781c714862146c56b191403c2ade183d7f0d8e59e5237adb78ed,1e4713622998781c714862146c56b191403c2ade183d7f0d8e59e5237adb78ed,MANIFEST.json,implementation
sha256:data/authoritative/ssz_p5_F1b_FINAL_Cinf_center_to_punctured_handover_2026-09-14.csv,PASS,4aecb2e3c539dba50a773579f3e740ba34811dba617b7cd6358e7de8a0375ad5,4aecb2e3c539dba50a773579f3e740ba34811dba617b7cd6358e7de8a0375ad5,MANIFEST.json,implementation
sha256:data/authoritative/ssz_p5_F2A_GLOBAL_CANONICAL_KRG_PRINCIPAL_CINF_FINAL_2026-09-15(2).csv,PASS,a11a0a214d5e01141a1838f48adf8978bb29095ed09cbfcfde59b131e2b2a407,a11a0a214d5e01141a1838f48adf8978bb29095ed09cbfcfde59b131e2b2a407,MANIFEST.json,implementation
sha256:data/authoritative/ssz_p5_F2_core_punctured_horndeski_unreduced_39of41_2026-09-14.csv,PASS,253cfe04a924837da97e41b4d2dbbdb515079e86f11965ba5e93c443ac61a73b,253cfe04a924837da97e41b4d2dbbdb515079e86f11965ba5e93c443ac61a73b,MANIFEST.json,implementation
sha256:data/authoritative/ssz_p5_F2_horndeski_carrier_unreduced_39of41_CORRECTED_2026-09-14.csv,PASS,4a614bc3b09e39b1dca5fa6ebafc82e025a41ba6f744818873d17f1f14ad0627,4a614bc3b09e39b1dca5fa6ebafc82e025a41ba6f744818873d17f1f14ad0627,MANIFEST.json,implementation
sha256:data/authoritative/ssz_p5_F2b_central_c3_e3_SELECTED_REPRESENTATIVE_2026-09-15.csv,PASS,5a831cbd4fd85b02a818c98bea808da07d34de86e50688147f7b1723eefda695,5a831cbd4fd85b02a818c98bea808da07d34de86e50688147f7b1723eefda695,MANIFEST.json,implementation
sha256:data/authoritative/ssz_p5_full_horndeski_principal_control_rank_2026-09-12.csv,PASS,598bc3b37448896556b8f70b0cecc1d95014246f4df65d9b3d7f4c7a7b3aef14,598bc3b37448896556b8f70b0cecc1d95014246f4df65d9b3d7f4c7a7b3aef14,MANIFEST.json,implementation
sha256:data/authoritative/ssz_p5_horndeski_carrier_through_light_rings_to_core_2026-09-12.csv,PASS,65b32db2d2769d49af1616476608368d8d17f3d6ebc1b29cb5f2ca87bbba18ba,65b32db2d2769d49af1616476608368d8d17f3d6ebc1b29cb5f2ca87bbba18ba,MANIFEST.json,implementation
sha256:data/authoritative/ssz_p5_integrable_full_svt_lobe_ZK_exact_regression_2026-09-13.csv,PASS,09b10a19112543c96c023e9a6353a4fec48f9834f09ef4b6c14074d37e69d2c8,09b10a19112543c96c023e9a6353a4fec48f9834f09ef4b6c14074d37e69d2c8,MANIFEST.json,implementation
sha256:data/authoritative/ssz_p5_integrable_svt_unreduced_even_coefficients_2026-09-12.csv,PASS,74b4812b9a43dfb6faf71f5eaf2375c359d69ac250a5b5414fea8647fed8e89c,74b4812b9a43dfb6faf71f5eaf2375c359d69ac250a5b5414fea8647fed8e89c,MANIFEST.json,implementation
sha256:data/certificates/SSZ_P5_FULL_CLOSURE_AUDIT_2026-09-16.json,PASS,b96bae80ba87e8891e7123899e6e3acaf070d9a75c4b6d95f03bd81ef925f9db,b96bae80ba87e8891e7123899e6e3acaf070d9a75c4b6d95f03bd81ef925f9db,MANIFEST.json,implementation
sha256:data/certificates/SSZ_P5_FULL_CLOSURE_GATE_LEDGER_2026-09-16.csv,PASS,12e17991998e691830b71e0b0e021d15221abdef061d56d0570ef72fe257ae10,12e17991998e691830b71e0b0e021d15221abdef061d56d0570ef72fe257ae10,MANIFEST.json,implementation
sha256:data/regression/ssz_p5_HSVT_EPSY001_STRONGH_41of41_2026-09-16.csv,PASS,53a5fcd6b59d6762180968c60150df68e26c4c98fb98c1a544ea9cf8a4a770bf,53a5fcd6b59d6762180968c60150df68e26c4c98fb98c1a544ea9cf8a4a770bf,MANIFEST.json,implementation
sha256:data/regression/ssz_p5_MH_G4PHI_EMITTER_STRONGH_REGRESSION_2026-09-16.csv,PASS,d5d87a8bbf2770a23928ac6f07a22649b1622c9e2671e62d0efffc1d6ed0276c,d5d87a8bbf2770a23928ac6f07a22649b1622c9e2671e62d0efffc1d6ed0276c,MANIFEST.json,implementation
sha256:data/regression/ssz_p5_ZK_APPENDIX_A_EMITTER_OUTER_REGRESSION_2026-09-16.csv,PASS,21b4460ec43d05242cea79c9a2b2768e5d0b79a66271705c43bf566296fa02c6,21b4460ec43d05242cea79c9a2b2768e5d0b79a66271705c43bf566296fa02c6,MANIFEST.json,implementation
sha256:data/regression/ssz_p5_carrier_corr_41of41_2026-09-16.csv,PASS,bc0303dd9d90f2219136cb8d304432e7e5ce513690efa2117be08b057380b72d,bc0303dd9d90f2219136cb8d304432e7e5ce513690efa2117be08b057380b72d,MANIFEST.json,implementation
sha256:data/regression/ssz_p5_full_constraint_maps_JET9D8_audit_2026-09-16(1).csv,PASS,80f3e9ad6fe299601c5b89ccc0f66a94a0f5e33285721e65e199db8209c49e0e,80f3e9ad6fe299601c5b89ccc0f66a94a0f5e33285721e65e199db8209c49e0e,MANIFEST.json,implementation
sha256:data/regression/ssz_p5_holonomic_a5_gate_status_2026-09-16.csv,PASS,eb879cee6d061123240b892fc63b22d1aacc1cbc1062d4cc65832c8c05610784,eb879cee6d061123240b892fc63b22d1aacc1cbc1062d4cc65832c8c05610784,MANIFEST.json,implementation
sha256:data/regression/ssz_p5_profile_operator_internal_crosscheck_2026-09-16.csv,PASS,71496c53be677b0512ccaa80892f77d83ae3c35da6a27e4e43597db15ff56d28,71496c53be677b0512ccaa80892f77d83ae3c35da6a27e4e43597db15ff56d28,MANIFEST.json,implementation
sha256:data/regression/ssz_p5_profile_operator_structural_audit_2026-09-16.csv,PASS,37d4342840f8d6e846049b187bcccda32736ff1200a08f7d890110a0d6d17616,37d4342840f8d6e846049b187bcccda32736ff1200a08f7d890110a0d6d17616,MANIFEST.json,implementation
sha256:data/regression/ssz_p5_shared_baseline_assembly_validation_2026-09-16(1).csv,PASS,6204f8600d5de71da0ba9794ef6dd96467e05b07d19435bf07a4b7fd32515e2b,6204f8600d5de71da0ba9794ef6dd96467e05b07d19435bf07a4b7fd32515e2b,MANIFEST.json,implementation
sha256:legacy_superseded/README.md,PASS,9091282680778d299337b6c82b978ae7baa06d72e819a7fcbc8c6286e8505a9b,9091282680778d299337b6c82b978ae7baa06d72e819a7fcbc8c6286e8505a9b,MANIFEST.json,implementation
sha256:paper/SSZ_P5_FULL_CLOSURE_MONOGRAPH_2026-09-16.pdf,PASS,a028d69bd8e66886b9552683376873801936362b25e90eb1516b7e800b837902,a028d69bd8e66886b9552683376873801936362b25e90eb1516b7e800b837902,MANIFEST.json,implementation
sha256:paper/SSZ_P5_FULL_CLOSURE_MONOGRAPH_2026-09-16.tex,PASS,153d750cd96f2762d182b79dbb4c7d71ddb1b45898c0cdbceff3b843d33ee54a,153d750cd96f2762d182b79dbb4c7d71ddb1b45898c0cdbceff3b843d33ee54a,MANIFEST.json,implementation
sha256:paper/appendices/SSZ_P5_HSVT_FINITE_L_TECHNICAL_MEMORY_2026-09-16.pdf,PASS,b25f47dc0e63285733c91faac3eabf26e7b185dd1332f6b778cf1df054b15a6d,b25f47dc0e63285733c91faac3eabf26e7b185dd1332f6b778cf1df054b15a6d,MANIFEST.json,implementation
sha256:paper/appendices/SSZ_P5_Horndeski_SVT_CLOSURE_COMPLETE_2026-09-14.pdf,PASS,cc3e6442c00fda1864c12791e2354c0ea9608a1a86585f7b68f2158da067b300,cc3e6442c00fda1864c12791e2354c0ea9608a1a86585f7b68f2158da067b300,MANIFEST.json,implementation
sha256:paper/appendices/SSZ_P5_KRGM_TECHNISCHES_SICHERHEITSPROTOKOLL_2026-09-16.pdf,PASS,016131521eb19effa93796be1a187f99fc677f603f99621123cfabf7efdcf56e,016131521eb19effa93796be1a187f99fc677f603f99621123cfabf7efdcf56e,MANIFEST.json,implementation
sha256:paper/appendices/code_ascii/ssz_hybrid_full_constraint_maps_JET9D8(1).py,PASS,287185c4f3c660e27f0ff32dc19f7f1e1040726e46e08ba35685a00b0e562850,287185c4f3c660e27f0ff32dc19f7f1e1040726e46e08ba35685a00b0e562850,MANIFEST.json,implementation
sha256:paper/appendices/code_ascii/ssz_hybrid_jet_aware_constraint_reducer.py,PASS,49ea2044d0ef2e6a66c030fe75538c246af035257d3d1a495275eafb4b1c264a,49ea2044d0ef2e6a66c030fe75538c246af035257d3d1a495275eafb4b1c264a,MANIFEST.json,implementation
sha256:paper/appendices/code_ascii/ssz_hybrid_unreduced_even_kernel.py,PASS,1fc9c2a01b7be3968091cf795d104d444a48dba97cf93062c1c4c0df843b0aed,1fc9c2a01b7be3968091cf795d104d444a48dba97cf93062c1c4c0df843b0aed,MANIFEST.json,implementation
sha256:paper/appendices/code_ascii/ssz_p5_F2b_action_derived_highL_mass_closure_2026-09-15.py,PASS,9854a2de4fc09971b4d89a794921aec8e5f72862ca9549d7107c014d6a6375c1,9854a2de4fc09971b4d89a794921aec8e5f72862ca9549d7107c014d6a6375c1,MANIFEST.json,implementation
sha256:paper/appendices/code_ascii/ssz_p5_KGSM_highL_crosscheck_2026-09-16.py,PASS,96204d99484469284dfa25df4f552ebe2e55ab88fce3b68d25bcaa1854ae2abc,96204d99484469284dfa25df4f552ebe2e55ab88fce3b68d25bcaa1854ae2abc,MANIFEST.json,implementation
sha256:paper/appendices/code_ascii/ssz_p5_full_closure_auditor.py,PASS,fb63c86c281f21df02c13e5d3604aeb3d74d526eccb8a9ea0028be6711932059,fb63c86c281f21df02c13e5d3604aeb3d74d526eccb8a9ea0028be6711932059,MANIFEST.json,implementation
sha256:paper/appendices/code_ascii/ssz_p5_higher_jet_closure_2026-09-16.py,PASS,e102ec52304ef0729ee46483ef86b5e2b5fb28166f0b29486e44fd9b1003494c,e102ec52304ef0729ee46483ef86b5e2b5fb28166f0b29486e44fd9b1003494c,MANIFEST.json,implementation
sha256:paper/appendices/code_ascii/ssz_p5_holonomic_a5_closure_2026-09-16.py,PASS,65360a0913d0c0b54e6cc85a7c0d9e24431b68bd82ede3adb41e6bdf67814b0b,65360a0913d0c0b54e6cc85a7c0d9e24431b68bd82ede3adb41e6bdf67814b0b,MANIFEST.json,implementation
sha256:paper/appendices/code_ascii/ssz_p5_mh_luminal_g4phi_emitter_JET9D8_2026-09-16.py,PASS,bb5ad60f0afd14f0ec8a410e7870ae6777fa01b59648042b6703662289b8e692,bb5ad60f0afd14f0ec8a410e7870ae6777fa01b59648042b6703662289b8e692,MANIFEST.json,implementation
sha256:paper/appendices/code_ascii/ssz_p5_profile_operator_reducer_JET9D8_2026-09-16.py,PASS,95156fc3e0124fdd599b891a287acac90d172ef7304824653da64799739e315d,95156fc3e0124fdd599b891a287acac90d172ef7304824653da64799739e315d,MANIFEST.json,implementation
sha256:paper/appendices/code_ascii/ssz_p5_zk_appendixA_emitter_JET9D8_2026-09-16.py,PASS,3fccaf95d3b4092f235c529949bc8272dc8ad06a43068461cf29a5d4d4acc8f6,3fccaf95d3b4092f235c529949bc8272dc8ad06a43068461cf29a5d4d4acc8f6,MANIFEST.json,implementation
sha256:paper/figures/core_positive_invariants.png,PASS,efb7b224db81d74585a09994581e43fd3e7f595171068fcbdb1b2dbd8e65c18e,efb7b224db81d74585a09994581e43fd3e7f595171068fcbdb1b2dbd8e65c18e,MANIFEST.json,implementation
