slot,direct_value,reference_value,abs_error,relative_error,scaled_error,first_bad_radius,max_error,max_scaled_error,status,probable_dependency
a1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,PASS,authoritative central coefficient and common convention
a2,-5.209728137726429,-5.209728137726429,0.0,0.0,0.0,,0.0,0.0,PASS,authoritative central coefficient and common convention
a3,-0.3335037440195683,-0.3335037440195683,0.0,0.0,0.0,,0.0,0.0,PASS,authoritative central coefficient and common convention
a4,0.2034372838519366,0.2034372838519366,0.0,0.0,0.0,,0.0,0.0,PASS,authoritative central coefficient and common convention
a5,-189.52177706111036,-189.5217770611104,5.684341886080802e-14,2.999308034267699e-16,2.999308034267699e-16,,4.547473508864641e-13,2.999308034267699e-16,PASS,corrected derivative-of-product convention
a6,1.8042301387459172,1.8042301387459168,4.440892098500626e-16,2.4613778492733743e-16,2.4613778492733743e-16,,4.440892098500626e-16,2.4613778492733743e-16,PASS,authoritative central coefficient and common convention
a7,-207.69865118589092,-207.69865118589087,5.684341886080802e-14,2.7368217625030696e-16,2.7368217625030696e-16,,5.684341886080802e-14,2.7368217625030696e-16,PASS,authoritative central coefficient and common convention
a8,-0.2382221381393142,-0.2382221381393142,0.0,0.0,0.0,,0.0,0.0,PASS,authoritative central coefficient and common convention
a9,1.8318855039906532,1.8318855039906528,4.440892098500626e-16,2.424219247778537e-16,2.424219247778537e-16,,4.440892098500626e-16,2.424219247778537e-16,PASS,authoritative central coefficient and common convention
b1,0.2623601672295019,0.2623601672295019,0.0,0.0,0.0,,0.0,0.0,PASS,authoritative central coefficient and common convention
b2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,PASS,authoritative central coefficient and common convention
b3,27.433892868753052,27.43389286875305,3.552713678800501e-15,1.2950089496219507e-16,1.2950089496219507e-16,,3.552713678800501e-15,1.2950089496219507e-16,PASS,authoritative central coefficient and common convention
b4,1.7203945392098483,1.7203945392098483,0.0,0.0,0.0,,0.0,0.0,PASS,authoritative central coefficient and common convention
b5,-0.5247203344590038,-0.5247203344590038,0.0,0.0,0.0,,0.0,0.0,PASS,authoritative central coefficient and common convention
c1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,PASS,authoritative central coefficient and common convention
c2,54.77125224555108,54.77125224555108,0.0,0.0,0.0,,0.0,0.0,PASS,selected f3XX versus the original principal coefficient/Hessian selection
c3,183.95917232893996,183.95917232894,5.684341886080802e-14,3.090001881459082e-16,3.090001881459082e-16,,5.684341886080802e-14,3.090001881459082e-16,PASS,authoritative central coefficient and common convention
c4,2.3969060646209157,2.396906064620916,4.440892098500626e-16,1.8527601744805871e-16,1.8527601744805871e-16,,4.440892098500626e-16,1.8527601744805871e-16,PASS,authoritative central coefficient and common convention
c5,-6.764873393938302,-6.764873393938302,0.0,0.0,0.0,,0.0,0.0,PASS,authoritative central coefficient and common convention
c6,228.61262845383612,228.61262845383607,5.684341886080802e-14,2.4864513935758564e-16,2.4864513935758564e-16,,5.684341886080802e-14,2.4864513935758564e-16,PASS,c2 propagated into c6
d1,0.2623601672295019,0.2623601672295019,0.0,0.0,0.0,,0.0,0.0,PASS,authoritative central coefficient and common convention
d2,-1.8257493303384131,-1.8257493303384127,4.440892098500626e-16,2.4323668231484344e-16,2.4323668231484344e-16,,4.440892098500626e-16,2.4323668231484344e-16,PASS,authoritative central coefficient and common convention
d3,246.11304663021716,246.1130466302172,5.684341886080802e-14,2.309646710692862e-16,2.309646710692862e-16,,5.684341886080802e-14,2.309646710692862e-16,PASS,partial_phi(v6) versus the replay's total radial derivative/phiprime selector
d4,2.3498742634617518,2.349874263461752,4.440892098500626e-16,1.8898424343600665e-16,1.8898424343600665e-16,,4.440892098500626e-16,1.8898424343600665e-16,PASS,authoritative central coefficient and common convention
e1,53.22152310793216,53.22152310793216,0.0,0.0,0.0,,0.0,0.0,PASS,authoritative central coefficient and common convention
e2,-1.9792670397766212,-1.9792670397766208,4.440892098500626e-16,2.2437053764113726e-16,2.2437053764113726e-16,,3.552713678800501e-15,2.2437053764113726e-16,PASS,c2 propagated into e2
e3,-205.06635236766132,-205.06635236766127,5.684341886080802e-14,2.7719525024219505e-16,2.7719525024219505e-16,,4.547473508864641e-13,2.7719525024219505e-16,PASS,authoritative central coefficient and common convention
e4,184.39160829900572,184.39160829900567,5.684341886080802e-14,3.082755196138421e-16,3.082755196138421e-16,,5.684341886080802e-14,3.082755196138421e-16,PASS,"v13, c4_prime, v6_prime and alpha6_prime"
v1,248.95291659168572,248.9529165916857,2.842170943040401e-14,1.1416499882593948e-16,1.1416499882593948e-16,,2.842170943040401e-14,1.1416499882593948e-16,PASS,authoritative central coefficient and common convention
v2,199.33811330906732,199.33811330906727,5.684341886080802e-14,2.851608150453102e-16,2.851608150453102e-16,,5.684341886080802e-14,2.851608150453102e-16,PASS,authoritative central coefficient and common convention
