slot,direct_value,reference_value,abs_error,relative_error,scaled_error,first_bad_radius,max_error,max_scaled_error,status,probable_dependency
a1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,PASS,authoritative central coefficient and common convention
a2,-5.118810169242132,-5.118810173183939,3.941806880902732e-09,7.700631098908085e-10,7.700631098908085e-10,,3.941806880902732e-09,7.700631098908085e-10,PASS,authoritative central coefficient and common convention
a3,-0.33174187497424906,-0.3317418749742492,1.1102230246251565e-16,3.3466472229691697e-16,1.1102230246251565e-16,,1.1102230246251565e-16,1.1102230246251565e-16,PASS,authoritative central coefficient and common convention
a4,0.20343728385193668,0.2034372838519366,8.326672684688674e-17,4.0929924579355364e-16,8.326672684688674e-17,,8.326672684688674e-17,8.326672684688674e-17,PASS,authoritative central coefficient and common convention
a5,0.8817632861960689,0.8817634380708483,1.5187477941935867e-07,1.7223982404128188e-07,1.5187477941935867e-07,1.4627936835405533,1.2771504998454475e-05,1.5187477941935867e-07,FAIL,corrected derivative-of-product convention
a6,1.6535332829168654,1.6535332829266274,9.761969010924076e-12,5.9037027628776475e-12,5.9037027628776475e-12,,1.4299672557172016e-11,5.9037027628776475e-12,PASS,authoritative central coefficient and common convention
a7,-596.6804481643479,-596.6804481881162,2.376827978878282e-08,3.9834185720275795e-11,3.9834185720275795e-11,,2.376827978878282e-08,3.9834185720275795e-11,PASS,authoritative central coefficient and common convention
a8,-0.23846398956514234,-0.2384639895651422,1.3877787807814457e-16,5.819657648570626e-16,1.3877787807814457e-16,,1.3877787807814457e-16,1.3877787807814457e-16,PASS,authoritative central coefficient and common convention
a9,1.427456122817924,1.427456122797853,2.0070833883778505e-11,1.4060560996045973e-11,1.4060560996045973e-11,,2.0070833883778505e-11,1.4060560996045973e-11,PASS,authoritative central coefficient and common convention
b1,0.2622578351940552,0.2622578351940551,1.1102230246251565e-16,4.2333264278020826e-16,1.1102230246251565e-16,,1.1102230246251565e-16,1.1102230246251565e-16,PASS,authoritative central coefficient and common convention
b2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,PASS,authoritative central coefficient and common convention
b3,26.874624346441397,26.87462434720538,7.639826549166173e-10,2.842765893380987e-11,2.842765893380987e-11,,7.639826549166173e-10,2.842765893380987e-11,PASS,authoritative central coefficient and common convention
b4,1.4861607650243018,1.4861607650243025,6.661338147750939e-16,4.482246002263429e-16,4.482246002263429e-16,,6.661338147750939e-16,4.482246002263429e-16,PASS,authoritative central coefficient and common convention
b5,-0.5247106548928303,-0.5247106548928302,1.1102230246251565e-16,2.1158766536805216e-16,1.1102230246251565e-16,,1.1102230246251565e-16,1.1102230246251565e-16,PASS,authoritative central coefficient and common convention
c1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,PASS,authoritative central coefficient and common convention
c2,61.77161407202362,54.77125224555108,7.000361826472535,0.127810877777423,0.127810877777423,1.639344262295082,67.83715729934029,36.73410455483796,FAIL,selected f3XX versus the original principal coefficient/Hessian selection
c3,244.9990239334984,244.9990239334984,0.0,0.0,0.0,,0.0,0.0,PASS,authoritative central coefficient and common convention
c4,-0.6801075006429586,-0.6801075006429593,7.771561172376096e-16,1.1426959951226865e-15,7.771561172376096e-16,,3.552713678800501e-15,7.771561172376096e-16,PASS,authoritative central coefficient and common convention
c5,-16.641987018158076,-16.641987018203224,4.5147885430196766e-11,2.712890316571778e-12,2.712890316571778e-12,,4.5147885430196766e-11,2.712890316571778e-12,PASS,authoritative central coefficient and common convention
c6,28.785586250027407,27.564521217472286,1.2210650325551207,0.04429843068636816,0.04429843068636816,1.639344262295082,21.668437906885345,0.06931943360258554,FAIL,c2 propagated into c6
d1,0.2622578351940552,0.2622578351940551,1.1102230246251565e-16,4.2333264278020826e-16,1.1102230246251565e-16,,1.1102230246251565e-16,1.1102230246251565e-16,PASS,authoritative central coefficient and common convention
d2,1.3736576861967522,1.3736576861967504,1.7763568394002505e-15,1.2931583008270818e-15,1.2931583008270818e-15,,7.105427357601002e-15,1.2931583008270818e-15,PASS,authoritative central coefficient and common convention
d3,66.37307746406766,20.12567705206364,46.247400412004026,2.2979301661437486,2.2979301661437486,1.639344262295082,83.6976966302741,23.641185280086198,FAIL,partial_phi(v6) versus the replay's total radial derivative/phiprime selector
d4,3.1033688626393343,3.103368862670922,3.1587621407425104e-11,1.0178494018993006e-11,1.0178494018993006e-11,,3.1587621407425104e-11,1.0178494018993006e-11,PASS,authoritative central coefficient and common convention
e1,53.22152310660612,53.22152310793216,1.3260361697575718e-09,2.4915411892072266e-11,2.4915411892072266e-11,,1.3260361697575718e-09,2.4915411892072266e-11,PASS,authoritative central coefficient and common convention
e2,66.57114105637694,56.53787820876752,10.033262847609421,0.1774609017084325,0.1774609017084325,1.639344262295082,53.09427389033614,25.999840460250688,FAIL,c2 propagated into e2
e3,-2774.893567272712,-2774.893567272712,0.0,0.0,0.0,,0.0,0.0,PASS,authoritative central coefficient and common convention
e4,206.92431212892419,206.9016114738674,0.02270065505678076,0.00010971714959140352,0.00010971714959140352,1.639344262295082,0.03460398793345121,0.0020645412130171348,FAIL,"v13, c4_prime, v6_prime and alpha6_prime"
v1,581.1365965850621,581.1365966087463,2.3684265215706546e-08,4.0755074373077413e-11,4.0755074373077413e-11,,2.3737811716273427e-08,4.0755074373077413e-11,PASS,authoritative central coefficient and common convention
v2,819.2770053439457,819.2770053773354,3.3389710552000906e-08,4.075509300620804e-11,4.075509300620804e-11,,3.344905508129159e-08,4.075509300620804e-11,PASS,authoritative central coefficient and common convention
v3,-846.898391390307,-846.8983914240265,3.3719516068231314e-08,3.98153030040986e-11,3.98153030040986e-11,,3.3719516068231314e-08,3.98153030040986e-11,PASS,authoritative central coefficient and common convention
v4,5.450518258953707e-09,0.0,5.450518258953707e-09,5.450518258953707e+291,5.450518258953707e-09,,5.450518258953707e-09,5.450518258953707e-09,PASS,authoritative central coefficient and common convention
v5,-602.761483483346,-602.7614840014925,5.181465212444891e-07,8.59621151976602e-10,8.59621151976602e-10,,5.181465212444891e-07,8.59621151976602e-10,PASS,authoritative central coefficient and common convention
v6,4.728447795673061,4.728447795673064,3.552713678800501e-15,7.513488214994229e-16,7.513488214994229e-16,,1.0658141036401503e-14,7.513488214994229e-16,PASS,authoritative central coefficient and common convention
v7,288.7508786357669,288.750878647535,1.176806563307764e-08,4.0755081640608204e-11,4.0755081640608204e-11,,1.1783299669332337e-08,4.0755081640608204e-11,PASS,authoritative central coefficient and common convention
v8,-20.848479306428157,-20.84847937203533,6.560717480397216e-08,3.14685659482547e-09,3.14685659482547e-09,,6.565448629203274e-08,3.14685659482547e-09,PASS,authoritative central coefficient and common convention
v9,1.8516850003864396,1.8516851882676897,1.8788125011326429e-07,1.0146500674287575e-07,1.0146500674287575e-07,1.639344262295082,7.3490625598342935e-06,7.3490625598342935e-06,FAIL,stored odd alpha4 and radial background jets
v10,-2.13720506310803,-2.13720506993887,6.8308398937233505e-09,3.196155572435888e-09,3.196155572435888e-09,,6.8308398937233505e-09,3.196155572435888e-09,PASS,authoritative central coefficient and common convention
v11,-2.349929921897014,-2.349929921897016,1.7763568394002505e-15,7.559190692658018e-16,7.559190692658018e-16,,5.329070518200751e-15,7.559190692658018e-16,PASS,authoritative central coefficient and common convention
v12,-6.757689486438286,-6.7576894864382915,5.329070518200751e-15,7.885935760877187e-16,7.885935760877187e-16,,1.4210854715202004e-14,7.885935760877187e-16,PASS,authoritative central coefficient and common convention
