u,x,slot,radial_order,inner_value,neighbor_value,abs_error,relative_error,scaled_error,finite
0.71,1.4084507042253522,a1,0,-1.5333286371940353e-89,0.0,1.5333286371940353e-89,1.5333286371940352e+211,1.5333286371940353e-89,True
0.71,1.4084507042253522,a2,0,-17.306359708941,-17.306312684055666,4.702488533325777e-05,2.7172099679316366e-06,2.7172099679316366e-06,True
0.71,1.4084507042253522,a3,0,-0.23766291160957734,-0.2376629116091763,4.0104031207022217e-13,1.6874333035594174e-12,4.0104031207022217e-13,True
0.71,1.4084507042253522,a4,0,0.1687406672427417,0.1687406672425175,2.2420953982305036e-13,1.3287226101862683e-12,2.2420953982305036e-13,True
0.71,1.4084507042253522,a5,0,-2031.0315818273687,-2030.7714866392355,0.2600951881331639,0.00012807703370092154,0.00012807703370092154,True
0.71,1.4084507042253522,a6,0,6.137811441669009,6.137792144834826,1.929683418300243e-05,3.1439373845921804e-06,3.1439373845921804e-06,True
0.71,1.4084507042253522,a7,0,-658.5275489321349,-658.5274880439732,6.088816166993638e-05,9.246107835345298e-08,9.246107835345298e-08,True
0.71,1.4084507042253522,a8,0,-0.2168304015608259,-0.21683040156105446,2.285671651947041e-13,1.0541287732216132e-12,2.285671651947041e-13,True
0.71,1.4084507042253522,a9,0,6.949960577871824,6.949939242829572,2.13350422519909e-05,3.0698170885454574e-06,3.0698170885454574e-06,True
0.71,1.4084507042253522,b1,0,0.2882437128285605,0.28824371282825534,3.051447983182243e-13,1.0586347064577229e-12,3.051447983182243e-13,True
0.71,1.4084507042253522,b2,0,1.0473956689130536e-88,0.0,1.0473956689130536e-88,1.0473956689130536e+212,1.0473956689130536e-88,True
0.71,1.4084507042253522,b3,0,118.2512659122289,118.2509446664335,0.00032124579540493414,2.7166446433989663e-06,2.7166446433989663e-06,True
0.71,1.4084507042253522,b4,0,1.6239082412877615,1.623908241285941,1.8205437157803317e-12,1.1210877988639795e-12,1.1210877988639795e-12,True
0.71,1.4084507042253522,b5,0,-0.5764874256571214,-0.5764874256565083,6.130651541980114e-13,1.0634493085427632e-12,6.130651541980114e-13,True
0.71,1.4084507042253522,c1,0,1.345422513338434e-88,0.0,1.345422513338434e-88,1.345422513338434e+212,1.345422513338434e-88,True
0.71,1.4084507042253522,c2,0,-42.731282150351774,-42.73128215035161,1.6342482922482304e-13,3.824477549019163e-15,3.824477549019163e-15,True
0.71,1.4084507042253522,c3,0,337.20440166800563,337.2044016680045,1.1368683772161603e-12,3.3714517710699017e-15,3.3714517710699017e-15,True
0.71,1.4084507042253522,c4,0,6.260952744772898,6.260876582371943,7.616240095487115e-05,1.216481429602257e-05,1.216481429602257e-05,True
