window,degree,u,slot,inner_value,neighbor_value
9,8,0.71,a5,696.6066736393165,-2030.7714866399992
9,8,0.71,v5,0.0,-3873.2463227621733
9,8,0.71,c3,0.0,337.20440166800483
9,8,0.71,e3,0.0,323.0873587657433
9,8,0.715,a5,26.463662876637432,26.18593528008486
9,8,0.715,v5,0.0,0.0
9,8,0.715,c3,0.0,0.0
9,8,0.715,e3,0.0,0.0
7,6,0.71,a5,696.5408659132943,-2031.4743136142306
7,6,0.71,v5,0.0,-3873.2599259049616
7,6,0.71,c3,0.0,337.20420982195185
7,6,0.71,e3,0.0,317.6653534305363
7,6,0.715,a5,26.463528501107067,26.185646151551527
7,6,0.715,v5,0.0,0.0
7,6,0.715,c3,0.0,0.0
7,6,0.715,e3,0.0,0.0
11,8,0.71,a5,696.5085205097977,-2032.0814333675514
11,8,0.71,v5,0.0,-3873.260945001738
11,8,0.71,c3,0.0,337.2048117512574
11,8,0.71,e3,0.0,318.67756670773514
11,8,0.715,a5,26.46347181863344,26.23788975035
11,8,0.715,v5,0.0,0.0
11,8,0.715,c3,0.0,0.0
11,8,0.715,e3,0.0,0.0
