row,side,slot,target_delta,fit_delta,scaled_residual
0,0,a1,-2.592860093297844e-09,0.0,2.592860093297844e-09
1,0,a2,-3.2864684973432645e-07,0.0,1.586610374256727e-07
2,0,a3,5.310200890118466e-10,0.0,-5.310200890118466e-10
3,0,a4,-6.076096292773059e-10,0.0,6.076096292773059e-10
4,0,a5,-0.277715939978151,0.0,0.010605538316949454
5,0,a6,1.1646785047557733e-14,0.0,-1.1646785047557733e-14
6,0,a7,5.204058119989696e-07,0.0,-5.204058119989696e-07
7,0,a8,-6.946580255462464e-10,0.0,6.946580255462464e-10
8,0,a9,2.972098278597457e-08,0.0,-2.972098278597457e-08
9,0,b1,-9.623026264726775e-10,0.0,9.623026264726775e-10
10,0,b2,1.4384299862335581e-08,0.0,-1.4384299862335581e-08
11,0,b3,4.209052319126272e-06,0.0,-4.1147253274586623e-07
12,0,b4,-3.113616031669153e-09,0.0,2.792838825368054e-09
13,0,b5,1.924605697034565e-09,0.0,-1.924605697034565e-09
14,0,c1,1.900101289642464e-07,0.0,-1.7492702406523937e-07
15,0,c2,-1.814533523991635e-07,-1.814346149580909e-07,1.8737441072601843e-11
16,0,c3,0.0,-1.8143431783363044e-10,-1.8143431783363044e-10
17,0,c4,1.2204582178210188e-07,0.0,-1.2204582178210188e-07
18,0,c5,7.361595896759887e-08,0.0,-7.361595896759887e-08
19,0,c6,-1.309809372629367e-07,-1.3098084010953412e-07,9.715340257141674e-14
20,0,d1,-9.623026264726775e-10,0.0,9.623026264726775e-10
21,0,d2,2.5553768814856603e-07,0.0,-2.5553768814856603e-07
22,0,d3,-6.226824209587534e-07,0.0,4.041152934731614e-07
23,0,d4,-2.8127901396945987e-10,0.0,2.8127901396945987e-10
24,0,e1,6.024359421097358e-06,0.0,-8.145057020653704e-07
25,0,e2,-4.098112889733274e-07,-4.0997005943574785e-07,-1.587704624204399e-10
26,0,e3,0.0,4.547473508864641e-11,4.547473508864641e-11
27,0,e4,0.0005637118461704477,0.0,-0.0005637118461704477
28,0,v1,-3.9644569849173195e-09,-5.0417008200114267e-17,3.3968014084854732e-09
29,0,v2,0.0,0.0,0.0
30,0,v3,0.0,0.0,0.0
31,0,v4,0.0,0.0,0.0
32,0,v5,0.0,0.0,0.0
33,0,v6,0.0,0.0,0.0
34,0,v8,0.0,0.0,0.0
35,0,v9,5.163608429725741e-09,4.999499840648795e-09,-1.1311874822129402e-10
36,0,v10,6.076097958107596e-10,5.537999347909124e-10,-5.380986101984715e-11
37,0,v11,0.0,0.0,0.0
38,0,v12,0.0,0.0,0.0
39,0,v13,0.0,-3.7730278183225625e-11,-3.7730278183225625e-11
40,1,a1,2.6483075494005334e-91,0.0,-2.6483075494005334e-91
41,1,a2,4.7024885326152344e-05,4.70249450060297e-05,3.4484455729512616e-12
42,1,a3,4.00679489587219e-13,0.0,-4.00679489587219e-13
43,1,a4,-2.2401525079374096e-13,0.0,2.2401525079374096e-13
44,1,a5,-2727.378160280972,-2727.378160257562,1.1527832539335828e-11
45,1,a6,-1.929683418477879e-05,-1.929699832538811e-05,-2.674261451803648e-11
46,1,a7,0.0037338444533361326,0.0037338416436902833,-4.266558192819687e-12
47,1,a8,-2.28872476526476e-13,0.0,2.28872476526476e-13
48,1,a9,-2.1335042242220936e-05,-2.1336663295760382e-05,-2.3324715264500634e-10
49,1,b1,-3.05089287166993e-13,0.0,3.05089287166993e-13
50,1,b2,-1.773753616312729e-90,0.0,1.773753616312729e-90
51,1,b3,-0.0003212457952912473,-0.00032124599046401414,-1.6504964707686215e-12
52,1,b4,-1.8205437157803317e-12,0.0,1.1210877988639795e-12
53,1,b5,6.128431095930864e-13,0.0,-6.128431095930864e-13
54,1,c1,-2.283559118543589e-90,0.0,2.283559118543589e-90
55,1,c2,0.00038296915404600895,0.00038296910277918483,-1.1997492595443978e-12
56,1,c3,337.2044016680045,337.204401672583,1.3577847717629815e-11
57,1,c4,-7.616240094776572e-05,-7.616235799725083e-05,6.8601439949152386e-12
58,1,c5,1.9421426440402456e-05,1.9418050514000476e-05,-1.9878399962451438e-10
59,1,c6,-0.0017582360531491759,-0.0017582377815950068,-5.272726677789478e-12
60,1,d1,-3.05089287166993e-13,0.0,3.05089287166993e-13
61,1,d2,-5.587740810986119e-05,-5.58772749446153e-05,3.677977225505622e-11
62,1,d3,0.21866910667887396,0.21866910769620063,2.740292510801944e-12
63,1,d4,-8.844726678169934e-06,-8.844913697882063e-06,-5.7058628866792926e-11
64,1,e1,-0.0004684936977525922,-0.00046848244417841897,6.813266883133664e-11
65,1,e2,0.0002380584039229916,0.00023805844873742155,1.5214249503391501e-12
66,1,e3,323.08735876572854,323.08735871315,-1.627377629009164e-10
67,1,e4,0.49948972349466203,0.49948972187848995,-1.1929475554638386e-12
68,1,v1,-0.003703074533632389,-0.0037030768449426432,-3.591481570488075e-12
69,1,v2,-0.0052161619245225666,-0.005216157270808708,5.13420755669661e-12
70,1,v3,0.005301502513930245,0.00530149593477347,-7.032480998439997e-12
71,1,v4,0.0,3.5047410421647086e-11,3.5047410421647086e-11
72,1,v5,-3873.246322762168,-3873.2463227698618,-1.9864139247826814e-12
73,1,v6,-6.0585285321934634e-05,-6.057958761066583e-05,2.7553236099799837e-10
74,1,v8,6.0681039663279535e-05,6.0680552999322083e-05,-2.2200861705975137e-11
75,1,v9,1.6625097298890446e-05,1.6625165278321073e-05,6.797943062752791e-11
76,1,v10,6.190948260265117e-06,6.190993157928757e-06,2.0066788241332078e-11
77,1,v11,3.0292642600571185e-05,3.0295649000193356e-05,2.9076952022333763e-10
78,1,v12,7.791481106522724e-05,7.79145445264581e-05,-1.0030721046115625e-11
79,1,v13,0.1495758283081159,0.14957582379645373,-7.017064566540201e-12
