parameter,coefficient,column_norm_scaled
f3|0|0,-0.012088675210577162,0.12222126863851833
f3|0|1,-29914657129.649918,1.873241442401864e-05
f3|0|2,45859861565.23055,8.120248928868743e-06
f3|1|0,0.00032730101005075645,3.912824924536111
f3|1|1,10780.242130012415,0.06697102546151149
f3|1|2,-1958790.0906193017,0.0030232435123599853
f3X|0|0,0.429614251653022,5.332578793677538
f3X|0|1,-59341201979.93992,7.0774852631421194e-06
f3X|0|2,24838326015.85682,1.6833456610808208e-05
f3X|1|0,0.31322339285094475,16.92827457251115
f3X|1|1,138608.29231983528,0.017355855485046666
f3X|1|2,14538121600.57091,2.4922202000309007e-05
f3XX|0|0,1830504671.3696654,5.637849624616446e-07
f3XX|0|1,0.0,6.628794777194206e-16
f3XX|0|2,-676051305864.7118,1.4758768650826455e-09
f3XX|1|0,1.2692957345027323,5.222293025679635
f3XX|1|1,5110213.42089998,0.00018522697419853595
f3XX|1|2,14592293097464.443,1.4758768650830645e-09
f4|0|0,-5.712197448302415e-06,4.550167940961784
f4|0|1,-118975418517.11023,7.096276124369767e-07
f4|0|2,-22024273831.616974,6.31733697371458e-06
f4|1|0,0.00014863611587918912,50.02785587380583
f4|1|1,-473.20165822778256,0.13168770232154706
f4|1|2,-655210.084701535,0.0067531199315302584
f4X|0|0,-0.5186983450004938,3.074229101262868
f4X|0|1,-34984596965.26033,1.8567190261027047e-05
f4X|0|2,-4407307210.934572,9.860370989221247e-06
f4X|1|0,-0.00031638606687659084,7.869651279260106
f4X|1|1,23108.28306885564,0.022648783557526628
f4X|1|2,6328136.4618467875,0.0010905640881057625
f4XX|0|0,1.1139607300834895,1.945024129277237
f4XX|0|1,219104590534.5662,2.6123732147007544e-06
f4XX|0|2,91806226.22692628,1.0312065247687933e-05
f4XX|1|0,0.8893659610435133,3.2368343521042657
f4XX|1|1,430738.02544952574,0.00400396697272825
f4XX|1|2,43644135819.01732,5.8593598792358e-06
f4XXX|0|0,-6122757522.623301,1.0331138055579848e-07
f4XXX|0|1,-4947360817049.717,1.475876865083029e-09
f4XXX|0|2,0.0,3.325632651321052e-16
f4XXX|1|0,-7.152619108272043,0.9217268521622978
f4XXX|1|1,-28916369.477547817,3.26906725615927e-05
f4XXX|1|2,0.0,7.075188678125601e-16
tf4|0|0,0.23913527013137703,6.1484582025305885
tf4|0|1,27395851965.55082,1.0562309070147354e-05
tf4|0|2,2950194600.469822,2.7618087559693554e-05
tf4|1|0,0.0007558734215278959,14.982678863939913
tf4|1|1,3490.7862752383935,0.06761964956030297
tf4|1|2,4209384.512047643,0.00215525790186471
f2XX|0|0,1.1510421902347725e-09,120.34362504322453
