control,basis,coefficient
f2XX,0,13765594.688168025
f2XX,1,7286921.602318511
f2XX,2,-1830010.509349501
f2XX,3,17540.322936339715
f2XX,4,53023.59701487645
f2XX,5,32708.497632607963
f2XX,6,13156.99446864443
f2XX,7,4198.8457676938
f2XX,8,865.8121522453727
f2XX,9,64.73872766048069
f2XX,10,-66.04648057274193
f2XX,11,-56.91860711561449
f2XX,12,-5.81868957640106
f2XX,13,0.018272061947544733
f2XX,14,-0.0010018091495084004
f2XX,15,0.0002325084232309484
f2XX,16,-8.618794275626428e-05
f2XX,17,-2.792967971869365e-05
f2XF,0,-2994454.2842892264
f2XF,1,-1579640.3750635926
f2XF,2,377440.3831997067
f2XF,3,-91178.36684320973
f2XF,4,-107119.70232559505
f2XF,5,-101635.69762745671
f2XF,6,-87409.70159355256
f2XF,7,-72454.77535251738
f2XF,8,-57036.55978179159
f2XF,9,-41142.74969573412
f2XF,10,-25767.417339062344
f2XF,11,-12238.130940029254
f2XF,12,-3235.3267101145652
f2XF,13,37.085877361213875
f2XF,14,-84.15920103304549
f2XF,15,-21531.81305130299
f2XF,16,-214244.3020411682
f2XF,17,407572.76283829595
f2XY,0,-2358380.182651418
f2XY,1,-1243582.2652801226
f2XY,2,297106.08767725335
f2XY,3,-71705.29690288664
f2XY,4,-84258.01128072028
f2XY,5,-79951.1971115406
f2XY,6,-68762.63714263178
f2XY,7,-56999.67121625274
f2XY,8,-44871.25208583933
f2XY,9,-32368.094646570247
f2XY,10,-20272.359781104202
f2XY,11,-9628.466097569511
f2XY,12,-2545.2227694045087
f2XY,13,29.22977642289986
f2XY,14,-65.23464952483651
f2XY,15,-16993.963612662417
f2XY,16,-169153.25153520016
f2XY,17,-426434.38486573636
f2FF,0,717556.510216556
f2FF,1,379471.13067903876
f2FF,2,-91423.79379653127
f2FF,3,21841.162109562043
f2FF,4,26266.751882375458
f2FF,5,28385.21336702031
f2FF,6,30542.480699306707
f2FF,7,34698.3834982267
f2FF,8,41159.816454637024
f2FF,9,50652.33662295615
f2FF,10,64925.32864308427
f2FF,11,88378.11907106455
f2FF,12,127315.83032641289
f2FF,13,198979.3975327885
f2FF,14,326895.98175995133
f2FF,15,19649677.77601416
f2FF,16,-50080350.98661953
f2FF,17,-0.12921918150434855
f2FY,0,565105.0209270085
f2FY,1,298677.29560731107
f2FY,2,-71991.84413955976
f2FY,3,17187.692846771704
f2FY,4,20661.205290863152
f2FY,5,22330.591721533834
f2FY,6,24027.533052547817
f2FY,7,27298.05329783681
f2FY,8,32381.64519572418
f2FY,9,39850.71384518214
f2FY,10,51080.07748003468
f2FY,11,69534.82468192605
f2FY,12,100164.09594799046
f2FY,13,156762.75089403804
f2FY,14,258727.1504312632
f2FY,15,15606136.024230435
f2FY,16,25595660.27884124
f2FY,17,0.32728304920474155
f2YY,0,445067.9474546173
f2YY,1,235135.90813266064
f2YY,2,-56668.823131082965
f2YY,3,13517.076471612894
f2YY,4,16251.660201760604
f2YY,5,17566.288606090617
f2YY,6,18901.78975205236
f2YY,7,21475.238288615303
f2YY,8,25475.026049324428
f2YY,9,31351.715879116393
f2YY,10,40187.0861069174
f2YY,11,54708.25049619825
f2YY,12,78809.32845244599
f2YY,13,123368.25721157041
f2YY,14,203717.80103795318
f2YY,15,12313805.220905382
f2YY,16,22804082.648410264
f2YY,17,-0.20723374759080523
f3XX,0,1970289.9224413093
f3XX,1,1198647.168351348
f3XX,2,-236097.80074671668
f3XX,3,-645541.3846634013
f3XX,4,148131.78107819232
f3XX,5,1453565.8829373403
f3XX,6,1627668.4745753494
f3XX,7,1103045.3415057706
f3XX,8,234535.5967811695
f3XX,9,-640064.4014023176
f3XX,10,-1033941.0243923619
f3XX,11,-394756.23734089825
f3XX,12,1161692.191972867
f3XX,13,5149057.552952457
f3XX,14,12175998.595540246
f3XX,15,34074140.731342405
f3XX,16,-4108908.2686425815
f3XX,17,-5640.145724975472
f4XX,0,7.301822783057197
f4XX,1,6.827653777090167
f4XX,2,5.877193168817336
f4XX,3,4.46592986784544
f4XX,4,3.171473550677918
f4XX,5,2.0724348156793067
f4XX,6,1.204704105379552
