parameter,coefficient,column_norm_scaled
f3|0|0,-0.04646480912478449,0.12222126863851833
f3|0|1,-30982836198.794815,1.873241442401864e-05
f3|0|2,45422318360.73328,8.120248928868743e-06
f3|1|0,0.0003252770062588294,3.912824924536111
f3|1|1,-537.0869890401957,0.06697102546151149
f3|1|2,141708.32858307293,0.0030232435123599853
f3X|0|0,0.4323131119001989,5.332578793677538
f3X|0|1,-51693855922.2597,7.0774852631421194e-06
f3X|0|2,24885260411.46969,1.6833456610808208e-05
f3X|1|0,-34.295016850988766,16.92827457251115
f3X|1|1,218741.7586187007,0.017355855485046666
f3X|1|2,13892581857.737337,2.4922202000309007e-05
f3XX|0|0,-9074913242.124596,5.637849624616446e-07
f3XX|0|1,0.0,6.628794777194206e-16
f3XX|0|2,-3689446032353.881,1.4758768650826455e-09
f3XX|1|0,96.8048690456167,5.222293025679635
f3XX|1|1,-27084397.68114849,0.00018522697419853595
f3XX|1|2,-13735957746382.648,1.4758768650830645e-09
f4|0|0,-4.171628313768266e-06,4.550167940961784
f4|0|1,-117600222471.8607,7.096276124369767e-07
f4|0|2,-21422865290.484367,6.31733697371458e-06
f4|1|0,0.00014348921139367837,50.02785587380583
f4|1|1,-486.37254077796223,0.13168770232154706
f4|1|2,266571.7102274576,0.0067531199315302584
f4X|0|0,-0.5301398604901709,3.074229101262868
f4X|0|1,-32140249894.185726,1.8567190261027047e-05
f4X|0|2,-3890173359.367574,9.860370989221247e-06
f4X|1|0,-0.0013657105244133465,7.869651279260106
f4X|1|1,-39355.55784691791,0.022648783557526628
f4X|1|2,-368742.29835026024,0.0010905640881057625
f4XX|0|0,0.9733515920070658,1.945024129277237
f4XX|0|1,203763805311.4669,2.6123732147007544e-06
f4XX|0|2,-486415952.3786764,1.0312065247687933e-05
f4XX|1|0,-97.17092300104,3.2368343521042657
f4XX|1|1,607159.4157151767,0.00400396697272825
f4XX|1|2,40032020519.21278,5.8593598792358e-06
f4XXX|0|0,45206700394.40195,1.0331138055579848e-07
f4XXX|0|1,3247802794144.657,1.475876865083029e-09
f4XXX|0|2,0.0,3.325632651321052e-16
f4XXX|1|0,-549.051599091378,0.9217268521622978
f4XXX|1|1,153416511.3560534,3.26906725615927e-05
f4XXX|1|2,0.0,7.075188678125601e-16
tf4|0|0,0.1980296005632568,6.1484582025305885
