row,side,slot,target_delta,fit_delta,scaled_residual
0,0,a1,-2.592860093297844e-09,1.080715258044814e-05,1.0809745440541438e-05
1,0,a2,-3.2864684973432645e-07,-0.00017419281522595368,-8.393650919831579e-05
2,0,a3,5.310200890118466e-10,3.326579434032658e-05,3.326526332023757e-05
3,0,a4,-6.076096292773059e-10,-2.179494799840134e-05,-2.179434038877206e-05
4,0,a5,-0.277715939978151,-0.2755179839806474,8.393650919831e-05
5,0,a6,1.1646785047557733e-14,8.381374895073679e-05,8.381374893909e-05
6,0,a7,5.204058119989696e-07,-8.34161033855807e-05,-8.393650919757967e-05
7,0,a8,-6.946580255462464e-10,2.6701274983523447e-05,2.6701969641548993e-05
8,0,a9,2.972098278597457e-08,8.396623018110818e-05,8.393650919832221e-05
9,0,b1,-9.623026264726775e-10,-3.7973969789705616e-05,-3.7973007487079144e-05
10,0,b2,1.4384299862335581e-08,-7.48382498488072e-05,-7.485263414866954e-05
11,0,b3,4.209052319126272e-06,-0.0008543978547881724,-8.393650919831583e-05
12,0,b4,-3.113616031669153e-09,-9.358032197867993e-05,-8.393650919913119e-05
13,0,b5,1.924605697034565e-09,7.594793957941123e-05,7.59460149737142e-05
14,0,c1,1.900101289642464e-07,-9.098393529918037e-05,-8.393650924279361e-05
15,0,c2,-1.814533523991635e-07,-8.411786979583515e-05,-8.393641644343599e-05
16,0,c3,0.0,8.39365085652221e-05,8.39365085652221e-05
17,0,c4,1.2204582178210188e-07,8.405855501958368e-05,8.393650919780158e-05
18,0,c5,7.361595896759887e-08,-8.386289624957854e-05,-8.393651220854614e-05
19,0,c6,-1.309809372629367e-07,0.00011523672294346671,0.00011536770388072964
20,0,d1,-9.623026264726775e-10,-3.7973969789705616e-05,-3.7973007487079144e-05
21,0,d2,2.5553768814856603e-07,6.914182300823767e-05,6.88862853200891e-05
22,0,d3,-6.226824209587534e-07,-0.00012995653738404056,-8.393650919829516e-05
23,0,d4,-2.8127901396945987e-10,-8.393679047733003e-05,-8.393650919831606e-05
