parameter,coefficient,column_norm_scaled
f3|0|0,0.0,0.12222126863851833
f3|0|1,0.0,1.873241442401864e-05
f3|0|2,192088604361615.6,8.120248928868743e-06
f3|1|0,-0.0012779157392236297,3.912824924536111
f3|1|1,0.0,0.06697102546151149
f3|1|2,0.0,0.0030232435123599853
f3X|0|0,-1.574032235545068e-05,5.332578793677538
f3X|0|1,0.0,7.0774852631421194e-06
f3X|0|2,0.0,1.6833456610808208e-05
f3X|1|0,0.0,16.92827457251115
f3X|1|1,0.0,0.017355855485046666
f3X|1|2,0.0,2.4922202000309007e-05
f3XX|0|0,0.0,5.637849624616446e-07
f3XX|0|1,0.0,6.628794777194206e-16
f3XX|0|2,1210796937626996.8,1.4758768650826455e-09
f3XX|1|0,0.0,5.222293025679635
f3XX|1|1,0.0,0.00018522697419853595
f3XX|1|2,-14560843047463.078,1.4758768650830645e-09
f4|0|0,0.0,4.550167940961784
f4|0|1,0.0,7.096276124369767e-07
f4|0|2,0.0,6.31733697371458e-06
f4|1|0,0.0002850183449970896,50.02785587380583
f4|1|1,0.0,0.13168770232154706
f4|1|2,0.0,0.0067531199315302584
f4X|0|0,0.0,3.074229101262868
f4X|0|1,0.0,1.8567190261027047e-05
f4X|0|2,0.0,9.860370989221247e-06
f4X|1|0,-0.00020650517452225182,7.869651279260106
f4X|1|1,237796.66202491114,0.022648783557526628
f4X|1|2,0.0,0.0010905640881057625
f4XX|0|0,0.0,1.945024129277237
f4XX|0|1,0.0,2.6123732147007544e-06
f4XX|0|2,0.0,1.0312065247687933e-05
f4XX|1|0,0.0,3.2368343521042657
f4XX|1|1,0.0,0.00400396697272825
f4XX|1|2,0.0,5.8593598792358e-06
f4XXX|0|0,0.0,1.0331138055579848e-07
f4XXX|0|1,-417393531470115.0,1.475876865083029e-09
f4XXX|0|2,0.0,3.325632651321052e-16
f4XXX|1|0,0.0,0.9217268521622978
f4XXX|1|1,0.0,3.26906725615927e-05
f4XXX|1|2,0.0,7.075188678125601e-16
tf4|0|0,0.0,6.1484582025305885
tf4|0|1,0.0,1.0562309070147354e-05
tf4|0|2,0.0,2.7618087559693554e-05
tf4|1|0,-0.0007928032350212437,14.982678863939913
tf4|1|1,0.0,0.06761964956030297
tf4|1|2,-711697450437370.0,0.00215525790186471
f2XX|0|0,-0.0005327863542810068,120.34362504322453
f2XX|0|1,-278491.046198548,0.13196347060062635
f2XX|0|2,377475939544.5327,1.0084768646249713e-07
f2XX|1|0,0.0,2.8045000233739423
f2XX|1|1,0.0,9.952045388664745e-05
f2XX|1|2,0.0,1.5359541079865507e-09
f2XF|0|0,0.0,2.951772036474158e-09
f2XF|0|1,0.0,1.4759074725672533e-09
f2XF|0|2,0.0,5.903508096159138e-09
f2XF|1|0,0.0,1.607514362475303
f2XF|1|1,0.0,0.0072538211493645656
f2XF|1|2,0.0,4.749526599179308e-13
f2FF|0|0,0.0,6.559664060361645e-16
f2FF|0|1,0.0,5.957676214071981e-16
f2FF|0|2,0.0,1.822169592046357e-16
f2FF|1|0,0.0,0.08898404940723523
f2FF|1|1,0.0,6.633400398629159e-16
f2FF|1|2,0.0,6.921449264817494e-16
f2XY|0|0,0.0,3.221839196483246e-06
f2XY|0|1,94934225077254.28,1.6234646012325556e-08
f2XY|0|2,-9113827000956.156,4.42763300214361e-09
f2XY|1|0,0.8958731441346574,29.814755549272835
f2XY|1|1,0.0,0.010263535515776296
f2XY|1|2,0.0,1.0331138696731096e-08
f2FY|0|0,0.0,4.427632376256794e-09
f2FY|0|1,0.0,1.475880086198605e-09
f2FY|0|2,-253858333143.37375,1.475876896990715e-09
f2FY|1|0,0.0,8.519570498471605
f2FY|1|1,0.0,0.03825779226332446
f2FY|1|2,0.0,6.514300298484221e-12
f2YY|0|0,238683275715617.72,8.487767851090753e-06
f2YY|0|1,0.0,3.6896922222174324e-08
f2YY|0|2,0.0,9.211856626729655e-13
f2YY|1|0,0.0,79.97991537046869
f2YY|1|1,-31794287759310.12,0.051363249704721274
f2YY|1|2,623335165655.1161,1.7710522594104775e-08
f3|0|3,0.0,6.224553917124609e-11
f3|1|3,-70018347555.90358,1.0931394085516041e-06
f3X|0|3,0.0,1.8016075013220783e-13
f3X|1|3,0.0,3.5731315804671657e-06
f3XX|0|3,0.0,0.0
f3XX|1|3,0.0,4.824506070033289e-16
f4|0|3,274216329447394.2,2.0528966164102325e-07
f4|1|3,0.0,7.185275890344764e-06
f4X|0|3,-291949823609.4131,1.648741104837033e-08
f4X|1|3,-256883468737490.9,3.005233638128462e-06
f4XX|0|3,6.631515112917007e+19,1.4758768650830614e-09
f4XX|1|3,0.0,8.014013179031467e-07
f4XXX|0|3,0.0,0.0
f4XXX|1|3,0.0,0.0
tf4|0|3,0.0,2.8895081911140736e-09
tf4|1|3,0.0,6.449376518242946e-07
f2XX|0|3,-950820382628364.9,1.3849787341913384e-12
f2XX|1|3,0.0,5.7709433499258274e-15
f2XF|0|3,0.0,0.0
f2XF|1|3,0.0,1.0115332248089111e-13
f2FF|0|3,0.0,1.790754005763378e-33
f2FF|1|3,0.0,1.2647246836525714e-16
f2XY|0|3,0.0,0.0
f2XY|1|3,0.0,4.67459039727016e-12
f2FY|0|3,0.0,5.607919673702603e-17
f2FY|1|3,-677914885927.0995,4.9100640647539994e-12
