row,side,slot,target_delta,fit_delta,scaled_residual
0,0,a1,-2.592860093297844e-09,-8.197830861113584e-10,1.7730770071864857e-09
1,0,a2,-3.2864684973432645e-07,5.3343796003878596e-08,1.8441385392472228e-07
2,0,a3,5.310200890118466e-10,3.611052922253789e-08,3.5579509133526046e-08
3,0,a4,-6.076096292773059e-10,8.004181936253796e-08,8.064942899181527e-08
4,0,a5,-0.277715939978151,-0.27771591038000965,1.1303068256173162e-09
5,0,a6,1.1646785047557733e-14,1.0252429816226538e-07,1.0252428651548034e-07
6,0,a7,5.204058119989696e-07,5.210610853900732e-07,6.552733911036057e-10
7,0,a8,-6.946580255462464e-10,1.1315628823493615e-07,1.138509462604824e-07
8,0,a9,2.972098278597457e-08,2.9374555423971552e-08,-3.464273620030177e-10
9,0,b1,-9.623026264726775e-10,-1.0956880877207484e-07,-1.0860650614560217e-07
10,0,b2,1.4384299862335581e-08,5.6769008692953675e-09,-8.707398993040213e-09
11,0,b3,4.209052319126272e-06,4.347271996866827e-06,1.351221048424258e-08
12,0,b4,-3.113616031669153e-09,3.311666571970282e-07,2.998413793261676e-07
13,0,b5,1.924605697034565e-09,2.191376175441497e-07,2.1721301184711512e-07
14,0,c1,1.900101289642464e-07,6.901642290406504e-09,-1.6857323780339865e-07
15,0,c2,-1.814533523991635e-07,-1.8101278838608932e-07,4.4056401307416903e-10
16,0,c3,0.0,-1.6231072185310168e-11,-1.6231072185310168e-11
17,0,c4,1.2204582178210188e-07,1.9814823003329157e-07,7.610240825118968e-08
18,0,c5,7.361595896759887e-08,7.358692936249023e-08,-2.9029605108643608e-11
19,0,c6,-1.309809372629367e-07,-1.3076539846779145e-07,2.1553879514524255e-10
20,0,d1,-9.623026264726775e-10,-1.0956880877207484e-07,-1.0860650614560217e-07
21,0,d2,2.5553768814856603e-07,1.629855501686432e-07,-9.255213797992282e-08
22,0,d3,-6.226824209587534e-07,-6.226171841428041e-07,4.233810709158089e-11
23,0,d4,-2.8127901396945987e-10,-3.157075555842992e-10,-3.4428541614839325e-11
24,0,e1,6.024359421097358e-06,5.305801735966398e-06,-9.715046711065116e-08
25,0,e2,-4.098112889733274e-07,-4.095504554497128e-07,2.6083352361462644e-10
26,0,e3,0.0,8.767528925091028e-10,8.767528925091028e-10
27,0,e4,0.0005637118461704477,0.0005637118285903853,-1.7580062405819774e-11
28,0,v1,-3.9644569849173195e-09,-1.2109135285595671e-15,3.3968004141560404e-09
29,0,v2,0.0,0.0,0.0
30,0,v3,0.0,0.0,0.0
31,0,v4,0.0,0.0,0.0
32,0,v5,0.0,0.0,0.0
33,0,v6,0.0,0.0,0.0
34,0,v8,0.0,0.0,0.0
35,0,v9,5.163608429725741e-09,7.840137537665562e-09,1.8449102753911907e-09
36,0,v10,6.076097958107596e-10,5.885331657781712e-10,-1.9076630032588415e-11
