parameter,coefficient,column_norm_scaled
f3|0|0,2.009470495167397,0.12222126863851833
f3|0|1,-1365142030.622583,1.873241442401864e-05
f3|0|2,180079993744.54163,8.120248928868743e-06
f3|1|0,-0.001829032554000214,3.912824924536111
f3|1|1,-552763.5693276823,0.06697102546151149
f3|1|2,103195213.5312655,0.0030232435123599853
f3X|0|0,-0.21129000095609474,5.332578793677538
f3X|0|1,-115282744807.2373,7.0774852631421194e-06
f3X|0|2,159972820765.94357,1.6833456610808208e-05
f3X|1|0,1.9896588538805307,16.92827457251115
f3X|1|1,5667762.675306239,0.017355855485046666
f3X|1|2,67122287002.86343,2.4922202000309007e-05
f3XX|0|0,-596511541099.976,5.637849624616446e-07
f3XX|0|1,0.0,6.628794777194206e-16
f3XX|0|2,-229043504118062.6,1.4758768650826455e-09
f3XX|1|0,-2.5435894064787496,5.222293025679635
f3XX|1|1,-1816023645.279657,0.00018522697419853595
f3XX|1|2,240803766993985.9,1.4758768650830645e-09
f4|0|0,-0.0001895595332187183,4.550167940961784
f4|0|1,7684517411.407004,7.096276124369767e-07
f4|0|2,-134079921079.71375,6.31733697371458e-06
f4|1|0,0.0005975797779387219,50.02785587380583
f4|1|1,-300.000093741405,0.13168770232154706
f4|1|2,47006086.61929144,0.0067531199315302584
f4X|0|0,-1.4324801596736572,3.074229101262868
f4X|0|1,69478102857.96474,1.8567190261027047e-05
f4X|0|2,-419168407997.4426,9.860370989221247e-06
f4X|1|0,-0.05487363881546261,7.869651279260106
f4X|1|1,-3322850.40851256,0.022648783557526628
f4X|1|2,-273384080.3304739,0.0010905640881057625
f4XX|0|0,8.041390291761287,1.945024129277237
f4XX|0|1,819191053487.2216,2.6123732147007544e-06
f4XX|0|2,-32619571070.2265,1.0312065247687933e-05
f4XX|1|0,5.313074757678105,3.2368343521042657
f4XX|1|1,13599920.122484164,0.00400396697272825
f4XX|1|2,131025294929.2232,5.8593598792358e-06
f4XXX|0|0,3258548240345.3276,1.0331138055579848e-07
f4XXX|0|1,224374258654630.3,1.475876865083029e-09
f4XXX|0|2,0.0,3.325632651321052e-16
f4XXX|1|0,-32.096391513930385,0.9217268521622978
f4XXX|1|1,10289723936.240793,3.26906725615927e-05
f4XXX|1|2,0.0,7.075188678125601e-16
tf4|0|0,3.4436201016744095,6.1484582025305885
tf4|0|1,139078961344.72543,1.0562309070147354e-05
tf4|0|2,90899661811.29512,2.7618087559693554e-05
tf4|1|0,0.028233218868136043,14.982678863939913
tf4|1|1,877891.7441130768,0.06761964956030297
tf4|1|2,-142004235.2407615,0.00215525790186471
f2XX|0|0,1.037881682673663e-10,120.34362504322453
f2XX|0|1,52880.596335448485,0.13196347060062635
f2XX|0|2,-25517646605.735256,1.0084768646249713e-07
f2XX|1|0,42.56125591241198,2.8045000233739423
f2XX|1|1,3379656925.5500402,9.952045388664745e-05
f2XX|1|2,38784303407.92474,1.5359541079865507e-09
f2XF|0|0,112158051503608.08,2.951772036474158e-09
f2XF|0|1,196457164926401.8,1.4759074725672533e-09
f2XF|0|2,57908864383543.984,5.903508096159138e-09
f2XF|1|0,-2530.7718363085974,1.607514362475303
f2XF|1|1,-46372447.97117152,0.0072538211493645656
f2XF|1|2,-54234924811616.89,4.749526599179308e-13
f2FF|0|0,0.0,6.559664060361645e-16
f2FF|0|1,0.0,5.957676214071981e-16
f2FF|0|2,0.0,1.822169592046357e-16
f2FF|1|0,1226.2713494291227,0.08898404940723523
f2FF|1|1,0.0,6.633400398629159e-16
f2FF|1|2,0.0,6.921449264817494e-16
f2XY|0|0,104394708139.80972,3.221839196483246e-06
f2XY|0|1,20311277829963.19,1.6234646012325556e-08
f2XY|0|2,75115800574776.31,4.42763300214361e-09
f2XY|1|0,9.935652877589135,29.814755549272835
f2XY|1|1,32774001.679457646,0.010263535515776296
f2XY|1|2,34273024566653.234,1.0331138696731096e-08
f2FY|0|0,106589260201012.42,4.427632376256794e-09
f2FY|0|1,368021073285596.0,1.475880086198605e-09
f2FY|0|2,54602438922335.12,1.475876896990715e-09
f2FY|1|0,472.4677002283867,8.519570498471605
f2FY|1|1,-8792384.737514941,0.03825779226332446
f2FY|1|2,-1172909263700644.5,6.514300298484221e-12
f2YY|0|0,39639139623.72623,8.487767851090753e-06
f2YY|0|1,8696256866643.892,3.6896922222174324e-08
f2YY|0|2,748223725758057.1,9.211856626729655e-13
f2YY|1|0,-7.828732906292374,79.97991537046869
f2YY|1|1,6548981.591100251,0.051363249704721274
f2YY|1|2,18167330802266.57,1.7710522594104775e-08
f3|0|3,-4050008753925960.5,6.224553917124609e-11
f3|1|3,-55291736137.08093,1.0931394085516041e-06
f3X|0|3,-1.8670931342996954e+18,1.8016075013220783e-13
f3X|1|3,146746574549.88974,3.5731315804671657e-06
f3XX|0|3,0.0,0.0
f3XX|1|3,0.0,4.824506070033289e-16
f4|0|3,1638157443357.5178,2.0528966164102325e-07
f4|1|3,75182723383.55276,7.185275890344764e-06
f4X|0|3,-20258490409447.195,1.648741104837033e-08
f4X|1|3,469796842761.51965,3.005233638128462e-06
f4XX|0|3,248082223790420.88,1.4758768650830614e-09
f4XX|1|3,-419743831821.10144,8.014013179031467e-07
f4XXX|0|3,0.0,0.0
f4XXX|1|3,0.0,0.0
tf4|0|3,118904570461269.33,2.8895081911140736e-09
tf4|1|3,40900405458.396805,6.449376518242946e-07
f2XX|0|3,-2348416957721383.0,1.3849787341913384e-12
f2XX|1|3,0.0,5.7709433499258274e-15
f2XF|0|3,0.0,0.0
f2XF|1|3,-1782557590187607.8,1.0115332248089111e-13
f2FF|0|3,0.0,1.790754005763378e-33
f2FF|1|3,0.0,1.2647246836525714e-16
f2XY|0|3,0.0,0.0
f2XY|1|3,3247292657223702.5,4.67459039727016e-12
f2FY|0|3,0.0,5.607919673702603e-17
f2FY|1|3,-3413108947264701.5,4.9100640647539994e-12
f2YY|0|3,0.0,1.1198028442264448e-16
f2YY|1|3,1918500319767998.5,1.5831177710921225e-12
HPRIM:a1|core|0,-8.197831673715216e-10,24.445648339650575
HPRIM:a1|core|1,2.6547378145245346e-07,1.2084390036393176
HPRIM:a1|core|2,390407725.2683566,8.491859110630003e-11
HPRIM:a1|core|3,291943368.626223,5.641911285029906e-11
HPRIM:c2|core|0,-1.1659384205136835e-06,1.3214120378260577
HPRIM:c2|core|1,0.0,2.7755582593922224e-17
HPRIM:c2|core|2,0.0,1.1102230246251565e-16
HPRIM:c2|core|3,0.0,2.7757641866417593e-17
HPRIM:c4|core|0,1.9814823030177174e-07,2.9198974807728475
HPRIM:c4|core|1,-18876.430949274545,0.8062082535555863
HPRIM:c4|core|2,0.0,8.903457630034092e-16
HPRIM:c4|core|3,0.0,1.3509307879285433e-15
HPRIM:F_tensor|core|0,0.363327574904033,0.42405581256813857
HPRIM:F_tensor|core|1,0.0,1.5352150700186134e-15
HPRIM:F_tensor|core|2,0.0,1.908230426908482e-15
HPRIM:F_tensor|core|3,0.0,1.8318859054758234e-15
HPRIM:G_tensor|core|0,-0.07773333695900932,4.700804914606816
HPRIM:G_tensor|core|1,-78170.2155866286,0.1947219450898856
HPRIM:G_tensor|core|2,18546980735687.316,2.910940296030508e-11
HPRIM:G_tensor|core|3,419261243906650.7,7.389178158310324e-11
HPRIM:H_tensor|core|0,6.073976006670926e-09,4.167330848178956
HPRIM:H_tensor|core|1,0.5422024541789817,0.6002857807500835
HPRIM:H_tensor|core|2,36604472.77092204,8.73272980747337e-11
HPRIM:H_tensor|core|3,-729827143.9433688,3.2727946623553986e-10
