slot,max_scaled_error,status
a1,0.0,PASS
a2,2.296912108572974e-16,PASS
a3,5.551115123125783e-17,PASS
a4,8.326672684688674e-17,PASS
a5,2.2008465804397695e-16,PASS
a6,9.90960785651751e-17,PASS
a7,2.1716758613631718e-16,PASS
a8,8.326672684688674e-17,PASS
a9,2.2118537712294132e-16,PASS
b1,5.551115123125783e-17,PASS
b2,0.0,PASS
b3,2.2857872923432415e-16,PASS
b4,2.463469009273071e-16,PASS
b5,0.0,PASS
c1,0.0,PASS
c2,2.0846513050663808e-16,PASS
c3,0.0,PASS
c4,2.329138682082803e-16,PASS
c5,2.4640791541505865e-16,PASS
c6,2.38400949212102e-16,PASS
d1,5.551115123125783e-17,PASS
d2,2.2726526589171033e-16,PASS
d3,2.2125528480859311e-16,PASS
d4,9.71445146547012e-17,PASS
e1,2.2136630627104287e-16,PASS
e2,2.2940779583876086e-16,PASS
e3,0.0,PASS
e4,2.3265771766593934e-16,PASS
v1,2.433849966797838e-16,PASS
v2,2.3796014214971484e-16,PASS
v3,2.195786638147367e-16,PASS
v4,2.447029236594018e-16,PASS
v5,0.0,PASS
v6,2.3626781609170366e-16,PASS
v7,2.445979203548664e-16,PASS
v8,2.447336362400112e-16,PASS
v9,2.4119205035197564e-16,PASS
v10,9.8879238130678e-17,PASS
v11,2.212474602323639e-16,PASS
v12,2.4436263306385895e-16,PASS
v13,2.374412636146099e-16,PASS
