,u,x,phi,f,h,phiprime,A0,A0prime,X,Fbg_action,Ybg_action,f2,f2X,f2F,f2Y,f2phi,f2phiphi,f3,f3X,f3phi,f3phiX,f4,f4X,f4XX,f4phi,f4phiX,tf4,tf4phi,G2XX_lift,G2Xphi_lift,G2phiphi_lift
0,6.09999999999999987e-01,1.63934426229508201e+00,6.06011582046008246e-01,3.87706117891703617e-01,4.26990718496878086e-01,-6.97715382629332637e-01,0.00000000000000000e+00,1.44480871037999048e+00,-1.03930983076937794e-01,1.14949341457648258e+00,-4.77871922469599419e-01,1.29872671825655317e+00,5.33077271757586004e+01,9.99999999999005573e-01,0.00000000000000000e+00,1.65649273613694220e+02,-5.19462758012287031e+03,-5.94560853951959234e-01,4.47283549235331748e+01,1.50844617745891526e+02,-2.40670011875801492e+03,-8.43233587262550266e-01,9.28684506770827978e-02,-0.00000000000000000e+00,-1.12951433160467758e+01,4.80705193787162610e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00031778508091691e+02,-2.28619548224698462e+02,-1.74204539566983300e+02
1,6.10026256564141001e-01,1.63927370213917234e+00,6.06060818603841645e-01,3.87682346659796395e-01,4.26948786261809488e-01,-6.97875587772359030e-01,-1.01973716080616672e-04,1.44559635650185236e+00,-1.03968505415779802e-01,1.15070460714892109e+00,-4.78548152721301467e-01,1.30609503757781553e+00,5.32313923491970087e+01,1.00526494319156390e+00,0.00000000000000000e+00,1.65532883230143256e+02,-2.91521837805955875e+03,-5.88819456908192485e-01,4.46139897773757284e+01,1.50470306763467249e+02,-2.40010310042266519e+03,-8.43793237211913350e-01,9.31052215861691984e-02,-0.00000000000000000e+00,-1.12995118783924475e+01,4.81200123515084766e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00031945818277677e+02,-2.28678799627762658e+02,-1.74294751369134730e+02
2,6.10052513128282015e-01,1.63920314805705858e+00,6.06110062228420898e-01,3.87658574202704109e-01,4.26906844094676108e-01,-6.98035846392283110e-01,-2.03994173184285366e-04,1.44638250700739990e+00,-1.04006042852432007e-01,1.15191397979347099e+00,-4.79224058978860945e-01,1.31346680266530869e+00,5.31550296700901157e+01,1.01052341335413853e+00,0.00000000000000000e+00,1.65460451223466066e+02,-2.55316477429243287e+03,-5.83090771696805010e-01,4.44999190580991808e+01,1.50128832579232125e+02,-2.39402962911478244e+03,-8.44353478174072691e-01,9.33423934961341989e-02,5.73140101800894298e-14,-1.13128189210343617e+01,4.82092944244984611e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00032114009292059e+02,-2.28738099614729521e+02,-1.74385060039731314e+02
3,6.10078769692423140e-01,1.63913260004795647e+00,6.06159312922119886e-01,3.87634800519954081e-01,4.26864891999137075e-01,-6.98196158488892826e-01,-3.06061257206835524e-04,1.44716715716041233e+00,-1.04043595387438806e-01,1.15312152117940636e+00,-4.79899635928552393e-01,1.32084326331830892e+00,5.30786233908273033e+01,1.01577654973603360e+00,0.00000000000000000e+00,1.65411346834622748e+02,-1.94774769051737326e+03,-5.77373829400513849e-01,4.43861275233021573e+01,1.49805258282578706e+02,-2.38823073852997504e+03,-8.44914572240604178e-01,9.35800977100960940e-02,-5.72857981995565028e-14,-1.13308773021760061e+01,4.83239983501821957e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00032283085771780e+02,-2.28797369827116711e+02,-1.74475346124141453e+02
4,6.10105026256564154e-01,1.63906205811108241e+00,6.06208570687311488e-01,3.87611025611074189e-01,4.26822929978862897e-01,-6.98356524074595364e-01,-4.08174853738285659e-04,1.44795030222501064e+00,-1.04081163025106102e-01,1.15432721996959375e+00,-4.80574878263891225e-01,1.32822569505952415e+00,5.30021575747985452e+01,1.02102550915493895e+00,0.00000000000000000e+00,1.65388113949939282e+02,-1.61184412843365294e+03,-5.71667647265791778e-01,4.42725998654153301e+01,1.49501293893780485e+02,-2.38273799491508271e+03,-8.45476785556197319e-01,9.38184680974332025e-02,-5.72575997741655597e-14,-1.13541857042643866e+01,4.84633205094815001e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00032453052377889e+02,-2.28856657536479190e+02,-1.74565681698525935e+02
5,6.10131282820705168e-01,1.63899152224565192e+00,6.06257835526370248e-01,3.87587249475592976e-01,4.26780958037530578e-01,-6.98516943166944126e-01,-5.10334848065119306e-04,1.44873193746585249e+00,-1.04118745771274404e-01,1.15553106482087364e+00,-4.81249780675578165e-01,1.33561481374963464e+00,5.29256231345690082e+01,1.02627095944979607e+00,0.00000000000000000e+00,1.65365547871556657e+02,-1.90495499354683079e+03,-5.65971654551372771e-01,4.41593269300440596e+01,1.49198593128372664e+02,-2.37726983939554430e+03,-8.46040270221163571e-01,9.40575675695324992e-02,-0.00000000000000000e+00,-1.13776398525288656e+01,4.86003733888473466e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00032623913796328e+02,-2.28915933536421306e+02,-1.74656022212795250e+02
6,6.10157539384846181e-01,1.63892099245088163e+00,6.06307107441669602e-01,3.87563472113038487e-01,4.26738976178827611e-01,-6.98677415769888399e-01,-6.12541125167564982e-04,1.44951205814821416e+00,-1.04156343627731102e-01,1.15673304438429225e+00,-4.81924337825767490e-01,1.34300994507462867e+00,5.28490283419856439e+01,1.03151236405735025e+00,0.00000000000000000e+00,1.65320525688270067e+02,-2.38914778303695221e+03,-5.60286288722437464e-01,4.40463151953661125e+01,1.48880451196357456e+02,-2.37156512390451007e+03,-8.46604897026225434e-01,9.42973216798315000e-02,-0.00000000000000000e+00,-1.13965653197021037e+01,4.87142334060667981e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00032795674737429e+02,-2.28975215272602327e+02,-1.74746394277421047e+02
7,6.10183795948987195e-01,1.63885046872598750e+00,6.06356386435583872e-01,3.87539693522939599e-01,4.26696984406450486e-01,-6.98837941908157401e-01,-7.14793569722260713e-04,1.45029065953816461e+00,-1.04193956602459697e-01,1.15793314730545593e+00,-4.82598544395576978e-01,1.35040992138551830e+00,5.27723876577526170e+01,1.03674876274824368e+00,0.00000000000000000e+00,1.65255612503271777e+02,-2.71949406429472810e+03,-5.54612339380521790e-01,4.39335767012589571e+01,1.48548827723068314e+02,-2.36565287315371052e+03,-8.47170437649116148e-01,9.45376221591865962e-02,-0.00000000000000000e+00,-1.14114873759738007e+01,4.88108904120379439e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00032968339936417e+02,-2.29034499133584291e+02,-1.74836792381890575e+02
8,6.10210052513128320e-01,1.63877995107018593e+00,6.06405672510487714e-01,3.87515913704825077e-01,4.26654982724103793e-01,-6.98998521581445376e-01,-8.17092066100866266e-04,1.45106773690267077e+00,-1.04231584695980803e-01,1.15913136222478630e+00,-4.83272395022001644e-01,1.35781390658670409e+00,5.26957113517960920e+01,1.04197948548993180e+00,0.00000000000000000e+00,1.65174615440660261e+02,-3.06796817362123466e+03,-5.48950351278647886e-01,4.38211196869489896e+01,1.48206536121928082e+02,-2.35957750381276037e+03,-8.47736731433533008e-01,9.47784057175759947e-02,-5.71449415283111894e-14,-1.14231863063511163e+01,4.88947462364472329e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00033141914153418e+02,-2.29093759069264365e+02,-1.74927176743371319e+02
9,6.10236309077269334e-01,1.63870943948269399e+00,6.06454965668754675e-01,3.87492132658224575e-01,4.26612971135504282e-01,-6.99159154802450056e-01,-9.19436498369952115e-04,1.45184328550973474e+00,-1.04269227912693496e-01,1.16032767777783641e+00,-4.83945884350494404e-01,1.36522096455224640e+00,5.26190109205389405e+01,1.04720377895457806e+00,0.00000000000000000e+00,1.65074543901908470e+02,-3.44236600765914227e+03,-5.43300938756008933e-01,4.37089534389773391e+01,1.47851457848115899e+02,-2.35330593066310348e+03,-8.48303598388717717e-01,9.50195962536947020e-02,-0.00000000000000000e+00,-1.14310682122583476e+01,4.89623022840923383e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00033316402173682e+02,-2.29153040007262774e+02,-1.75017615957631449e+02
10,6.10262565641410348e-01,1.63863893396272808e+00,6.06504265912759855e-01,3.87468350382667803e-01,4.26570949644374475e-01,-6.99319841595685610e-01,-1.02182675029305337e-03,1.45261730062859162e+00,-1.04306886260522799e-01,1.16152208259567846e+00,-4.84619007033572025e-01,1.37263015269322763e+00,5.25422979421441454e+01,1.05242088748787954e+00,0.00000000000000000e+00,1.64957186418786421e+02,-3.76675655733781605e+03,-5.37664717458490982e-01,4.35970872769892068e+01,1.47484934632741158e+02,-2.34685935674849998e+03,-8.48870858036347320e-01,9.52611181689062975e-02,2.85443468094045132e-14,-1.14355045408222704e+01,4.90154938175597454e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00033491808807469e+02,-2.29212321835750259e+02,-1.75108079316741481e+02
11,6.10288822205551362e-01,1.63856843450950507e+00,6.06553573244878241e-01,3.87444566877684082e-01,4.26528918254447276e-01,-6.99480581961542724e-01,-1.12426270532922645e-03,1.45338977752977505e+00,-1.04344559740199794e-01,1.16271456530511319e+00,-4.85291757681119262e-01,1.38004058830050202e+00,5.24655832106583091e+01,1.05763011021214681e+00,0.00000000000000000e+00,1.64821887449626644e+02,-4.19203126704058013e+03,-5.32042256841490424e-01,4.34855297664490408e+01,1.47106542979538602e+02,-2.34023064019428921e+03,-8.49438342768310983e-01,9.55029014012269972e-02,-5.70605899516731627e-14,-1.14363749611838941e+01,4.90537559362655884e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00033668138890505e+02,-2.29271574417366054e+02,-1.75198520758958296e+02
12,6.10315078769692376e-01,1.63849794112224223e+00,6.06602887667484159e-01,3.87420782142804010e-01,4.26486876969466577e-01,-6.99641375904992202e-01,-1.22674424663343773e-03,1.45416071148530190e+00,-1.04382248353822496e-01,1.16390511452905088e+00,-4.85964130900222391e-01,1.38745124689092192e+00,5.23888793259188077e+01,1.06283062742745749e+00,0.00000000000000000e+00,1.64664510965186054e+02,-4.56215504038499512e+03,-5.26434224894495983e-01,4.33742910604907692e+01,1.46713375152771448e+02,-2.33337465511871278e+03,-8.50005857272074561e-01,9.57448642744601064e-02,2.85162499032090399e-14,-1.14328584829713122e+01,4.90737014113111325e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00033845397283983e+02,-2.29330830151513510e+02,-1.75288989774946316e+02
13,6.10341335333833390e-01,1.63842745380015620e+00,6.06652209182952262e-01,3.87396996177558572e-01,4.26444825793183713e-01,-6.99802223447752669e-01,-1.32927125705811777e-03,1.45493009776876936e+00,-1.04419952108486702e-01,1.16509371888675051e+00,-4.86636121312212622e-01,1.39486121088355364e+00,5.23121974757768839e+01,1.06802171465090456e+00,0.00000000000000000e+00,1.64499841280344242e+02,-4.40532220687346853e+03,-5.20841209686184303e-01,4.32633799827996555e+01,1.46316057073840341e+02,-2.32645785796857308e+03,-8.50573228560204120e-01,9.59869343829325011e-02,-5.70044231762636507e-14,-1.14279324623341800e+01,4.90875621639152193e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00034023588874561e+02,-2.29390105590643259e+02,-1.75379511674947395e+02
14,6.10367591897974515e-01,1.63835697254246448e+00,6.06701537793658208e-01,3.87373208981477923e-01,4.26402764729359118e-01,-6.99963124609624510e-01,-1.43184361915138503e-03,1.45569793165557004e+00,-1.04457671010718400e-01,1.16628036699426429e+00,-4.87307723526987091e-01,1.40227077728456395e+00,5.22355337566745703e+01,1.07320369189504272e+00,0.00000000000000000e+00,1.64353810610681734e+02,-3.91674180828081535e+03,-5.15262928931518260e-01,4.31527918600933731e+01,1.45933123783300630e+02,-2.31976558813127667e+03,-8.51140527823823989e-01,9.62291399794564933e-02,-0.00000000000000000e+00,-1.14267993693997596e+01,4.91169963983121072e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00034202718574761e+02,-2.29449386951932865e+02,-1.75470065397842433e+02
15,6.10393848462115529e-01,1.63828649734838483e+00,6.06750873501977428e-01,3.87349420554093216e-01,4.26360693781762612e-01,-7.00124079398623422e-01,-1.53446121515810052e-03,1.45646420842301438e+00,-1.04495405063528696e-01,1.16746504746471880e+00,-4.87978932129350174e-01,1.40968094944889200e+00,5.21588755792276118e+01,1.07837748301994840e+00,0.00000000000000000e+00,1.64225527245030634e+02,-3.75420808631918135e+03,-5.09698597642699758e-01,4.30425143303803708e+01,1.45563886510184147e+02,-2.31328793325542256e+03,-8.51707967341322036e-01,9.64715694188656020e-02,-8.54224656583558544e-14,-1.14292712347601420e+01,4.91616096828393445e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00034382791322855e+02,-2.29508634032453756e+02,-1.75560589441105037e+02
16,6.10420105026256543e-01,1.63821602821713430e+00,6.06800216310285467e-01,3.87325630894936102e-01,4.26318612954174114e-01,-7.00285087808985351e-01,-1.63712392702147769e-03,1.45722892335041010e+00,-1.04533154265815595e-01,1.16864774890854273e+00,-4.88649741676219329e-01,1.41709208060499736e+00,5.20822183309165467e+01,1.08354345195089508e+00,0.00000000000000000e+00,1.64095628275135681e+02,-3.86760361455976317e+03,-5.04147897527458921e-01,4.29325421554646667e+01,1.45194503369761804e+02,-2.30681059509044144e+03,-8.52275628474290170e-01,9.67142581455232020e-02,-5.69202743281935510e-14,-1.14314635215434830e+01,4.92054818615499734e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00034563812083093e+02,-2.29567882720876810e+02,-1.75651138679989089e+02
17,6.10446361590397557e-01,1.63814556514793086e+00,6.06849566220956871e-01,3.87301840003538178e-01,4.26276522250383094e-01,-7.00446149871525869e-01,-1.73983163638091742e-03,1.45799207171928824e+00,-1.04570918627397993e-01,1.16982845993391926e+00,-4.89320146767056763e-01,1.42450385428062609e+00,5.20055658008429873e+01,1.08870138877492328e+00,0.00000000000000000e+00,1.63961458133024195e+02,-3.90324128467146966e+03,-4.98610988105168462e-01,4.28228776097136219e+01,1.44823083856041478e+02,-2.30030290575589879e+03,-8.52843458481612027e-01,9.69571864945620032e-02,-2.84461258568833760e-14,-1.14328444834539287e+01,4.92464268983978481e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00034745785845928e+02,-2.29627155269903625e+02,-1.75741747174123105e+02
18,6.10472618154538571e-01,1.63807510813999224e+00,6.06898923236368515e-01,3.87278047879431320e-01,4.26234421674187125e-01,-7.00607265595017625e-01,-1.84258422457417304e-03,1.45875364881349445e+00,-1.04608698151516397e-01,1.17100716914702341e+00,-4.89990141962250714e-01,1.43191619386024205e+00,5.19289187624876405e+01,1.09385128937319975e+00,0.00000000000000000e+00,1.63826693470209591e+02,-3.90573919020040876e+03,-4.93087857585368716e-01,4.27135202687311377e+01,1.44452251871209285e+02,-2.29380676406648581e+03,-8.53411452741651422e-01,9.72003545796903956e-02,2.84321212959985614e-14,-1.14341535380320654e+01,4.92874155583820439e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00034928717628077e+02,-2.29686404957808037e+02,-1.75832343413897348e+02
19,6.10498874718679696e-01,1.63800465719253618e+00,6.06948287358895944e-01,3.87254254522147789e-01,4.26192311229392384e-01,-7.00768434984207378e-01,-1.94538157263707268e-03,1.45951364991939303e+00,-1.04646492840209701e-01,1.17218386515244566e+00,-4.90659721808338944e-01,1.43932895688067330e+00,5.18522787969795615e+01,1.09899309360566422e+00,0.00000000000000000e+00,1.63690541735054182e+02,-3.92690895618850072e+03,-4.87578540833685237e-01,4.26044704218971262e+01,1.44081442784214801e+02,-2.28731324438926049e+03,-8.53979593560872163e-01,9.74437569548928934e-02,-0.00000000000000000e+00,-1.14352306280057796e+01,4.93279757021340792e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00035112612472460e+02,-2.29745656770131461e+02,-1.75922965632739277e+02
20,6.10525131282820710e-01,1.63793421230478109e+00,6.06997658590914702e-01,3.87230459931220405e-01,4.26150190919816707e-01,-7.00929658056842486e-01,-2.04822356130285321e-03,1.46027207032599926e+00,-1.04684302699400697e-01,1.17335853655350864e+00,-4.91328880861973238e-01,1.44674205366253150e+00,5.17756468353401118e+01,1.10412678667561637e+00,0.00000000000000000e+00,1.63552073995739647e+02,-4.02243977478440593e+03,-4.82083034885367745e-01,4.24957277833483715e+01,1.43709997793961605e+02,-2.28081137877632091e+03,-8.54547873846194794e-01,9.76873933882664025e-02,-2.84041324063260475e-14,-1.14358927257131882e+01,4.93671199044337516e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00035297475448942e+02,-2.29804902025411877e+02,-1.76013600530552452e+02
21,6.10551387846961724e-01,1.63786377347594514e+00,6.07047036934800999e-01,3.87206664106181986e-01,4.26108060749286477e-01,-7.01090934816198108e-01,-2.15111007100393659e-03,1.46102890532506602e+00,-1.04722127730691297e-01,1.17453117195249446e+00,-4.91997613651550647e-01,1.45415525177768346e+00,5.16990256029496749e+01,1.10925223241260040e+00,0.00000000000000000e+00,1.63409387218576256e+02,-3.98559708999088525e+03,-4.76601438030750280e-01,4.23872936567292271e+01,1.43336570783957939e+02,-2.27428168233522456e+03,-8.55116258204252966e-01,9.79312495948316958e-02,-0.00000000000000000e+00,-1.14357628091564649e+01,4.94029961643354998e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00035483311653593e+02,-2.29864145812592170e+02,-1.76104255893190839e+02
22,6.10577644411102738e-01,1.63779334070524629e+00,6.07096422392931157e-01,3.87182867046566126e-01,4.26065920721636793e-01,-7.01252265284719178e-01,-2.25404098187204083e-03,1.46178415021132890e+00,-1.04759967941410598e-01,1.17570175995113524e+00,-4.92665914724563780e-01,1.46156856201058227e+00,5.16224147324762015e+01,1.11436950216972663e+00,0.00000000000000000e+00,1.63277378003383177e+02,-3.60449333971632950e+03,-4.71133675477630298e-01,4.22791665923463782e+01,1.42971727043576635e+02,-2.26788604782120046e+03,-8.55684759680494067e-01,9.81753352122562983e-02,5.67523409561627653e-14,-1.14377980861725295e+01,4.94501926693493754e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00035670126209766e+02,-2.29923402229036185e+02,-1.76194953321175547e+02
23,6.10603900975243752e-01,1.63772291399190362e+00,6.07145814967681496e-01,3.87159068751905699e-01,4.26023770840711913e-01,-7.01413649471549938e-01,-2.35701617373662575e-03,1.46253780028258462e+00,-1.04797823334916398e-01,1.17687028915084291e+00,-4.93333778602168038e-01,1.46898281738587522e+00,5.15458037822298536e+01,1.11947936580259877e+00,0.00000000000000000e+00,1.63163517227758774e+02,-3.36608840796205413e+03,-4.65679090524902584e-01,4.21713363113989814e+01,1.42620718534765928e+02,-2.26170481396580817e+03,-8.56253554307874198e-01,9.84197393117083041e-02,-0.00000000000000000e+00,-1.14434772071535029e+01,4.95154281371435445e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00035857924267418e+02,-2.29982639391194681e+02,-1.76285643946900734e+02
24,6.10630157539384877e-01,1.63765249333513507e+00,6.07195214661428673e-01,3.87135269221734801e-01,4.25981611110365699e-01,-7.01575087382300233e-01,-2.46003552612844567e-03,1.46328985083991725e+00,-1.04835693913511094e-01,1.17803674815316661e+00,-4.94001199793013324e-01,1.47639845339261111e+00,5.14691871729229007e+01,1.12458225277939339e+00,0.00000000000000000e+00,1.63049060980871161e+02,-3.58924207980333404e+03,-4.60237311184784559e-01,4.20637968253576702e+01,1.42270227785767219e+02,-2.25553437842624089e+03,-8.56822738732080480e-01,9.86645080537199015e-02,-0.00000000000000000e+00,-1.14490771626874004e+01,4.95797649033211218e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00036046711003735e+02,-2.30041881516214403e+02,-1.76376364878891167e+02
