slot,max_scaled_error,status
a1,2.3918964417024535e-16,PASS
a2,2.391322930421684e-16,PASS
a3,0.0,PASS
a4,0.0,PASS
a5,3.9283633283888455e-16,PASS
a6,2.426389824027898e-16,PASS
a7,0.0,PASS
a8,0.0,PASS
a9,2.3856483553012113e-16,PASS
b1,0.0,PASS
b2,2.344657661490478e-16,PASS
b3,4.258423664811373e-16,PASS
b4,0.0,PASS
b5,0.0,PASS
c1,2.245194528991639e-16,PASS
c2,4.465060955998124e-16,PASS
c3,0.0,PASS
c4,2.46399987637747e-16,PASS
c5,2.355874373431296e-16,PASS
c6,0.0,PASS
d1,0.0,PASS
d2,2.442176556549999e-16,PASS
d3,4.158435654031602e-16,PASS
d4,2.5556487004454586e-16,PASS
e1,2.932376248438149e-16,PASS
e2,3.9472823015363163e-16,PASS
e3,0.0,PASS
e4,3.369357135548433e-16,PASS
v1,0.0,PASS
v2,0.0,PASS
v3,0.0,PASS
v4,0.0,PASS
v5,0.0,PASS
v6,0.0,PASS
v7,0.0,PASS
v8,0.0,PASS
v9,0.0,PASS
v10,0.0,PASS
v11,0.0,PASS
v12,0.0,PASS
v13,0.0,PASS
