slot,max_scaled_error,status
a1,2.56780325003722e-16,PASS
a2,2.4081865607515315e-16,PASS
a3,2.4569707676445067e-16,PASS
a4,0.0,PASS
a5,2.4365995544509264e-16,PASS
a6,0.0,PASS
a7,0.0,PASS
a8,0.0,PASS
a9,0.0,PASS
b1,0.0,PASS
b2,2.8984158273185475e-16,PASS
b3,2.460154682342134e-16,PASS
b4,2.4618915740462723e-16,PASS
b5,0.0,PASS
c1,3.0762932419466956e-16,PASS
c2,2.4544361185504437e-16,PASS
c3,0.0,PASS
c4,0.0,PASS
c5,0.0,PASS
c6,0.0,PASS
d1,0.0,PASS
d2,0.0,PASS
d3,0.0,PASS
d4,0.0,PASS
e1,2.435364838511817e-16,PASS
e2,2.4602038435194123e-16,PASS
e3,0.0,PASS
e4,2.461394768239061e-16,PASS
v1,2.464232102009989e-16,PASS
v2,0.0,PASS
v3,0.0,PASS
v4,0.0,PASS
v5,0.0,PASS
v6,0.0,PASS
v7,0.0,PASS
v8,0.0,PASS
v9,0.0,PASS
v10,0.0,PASS
v11,0.0,PASS
v12,0.0,PASS
v13,0.0,PASS
