dx,R,jost_order,root_index,omega_re,omega_im,residual
0.02,25.0,6,0,0.7737561593654912,-0.20839583687431532,1.736428115084113e-09
0.02,25.0,6,1,0.8764430801743675,-0.20549694564364115,1.3330787035954523e-09
0.02,25.0,6,2,0.9744002664523749,-0.2016065288998272,2.213913516889044e-09
0.02,25.0,6,3,1.0665981671775926,-0.20027589694022524,4.668976934041322e-10
0.02,25.0,6,4,1.158279599500537,-0.20580896225091952,2.341033565163516e-09
0.02,25.0,8,0,0.77374819906731,-0.208402837373258,1.1389407664588489e-08
0.02,25.0,8,1,0.8764380085986583,-0.20550038693286832,2.7165684227698563e-09
0.02,25.0,8,2,0.97439693425498,-0.20160836158248008,1.7086059782491232e-09
0.02,25.0,8,3,1.0665958066783279,-0.20027689361882672,3.757989493176305e-10
0.02,25.0,8,4,1.1582777398581168,-0.20580964526045187,5.726033239610524e-10
0.02,25.0,10,0,0.7737485147348594,-0.20840254201447242,8.501157620699255e-09
0.02,25.0,10,1,0.8764381833578605,-0.20550028168876286,3.5729477448657795e-09
0.02,25.0,10,2,0.9743970325582711,-0.20160832268858342,4.1362901048005017e-10
0.02,25.0,10,3,1.0665958661816612,-0.20027688018481415,1.6289257131573753e-09
0.02,25.0,10,4,1.1582777800296356,-0.20580963957416842,2.911393901026074e-09
0.02,30.0,6,0,0.8754704429211593,-0.2174426895472496,3.826591986725345e-08
0.02,30.0,6,1,0.9576994619774671,-0.2078413636990138,1.757205197099031e-08
0.02,30.0,6,2,1.0366194373969615,-0.20034488599427955,1.0735937730952099e-08
0.02,30.0,6,3,1.1142923678259566,-0.19743212170256,7.438421486650372e-09
0.02,30.0,8,0,0.8754930937684136,-0.21743481222871136,3.353199394578497e-07
0.02,30.0,8,1,0.9577095678996085,-0.2078409317983196,1.480181413280839e-08
0.02,30.0,8,2,1.0366240450100765,-0.2003458732677578,7.7061514969357e-09
0.02,30.0,8,3,1.1142946241078782,-0.19743311231454244,8.529865046604587e-09
0.02,30.0,10,0,0.8754925497629764,-0.21743495148471073,6.760523609145317e-08
0.02,30.0,10,1,0.9577093712933167,-0.20784091912493804,6.105915272405257e-09
0.02,30.0,10,2,1.036623971832798,-0.20034583270792397,8.99978167827569e-08
0.02,30.0,10,3,1.1142945936319004,-0.19743308825867803,5.066448816435878e-09
0.02,35.0,6,0,0.8091827846473868,-0.1599354749740021,9.751346092587127e-09
0.02,35.0,6,1,0.8851763299234005,-0.1592557098288149,3.3290107762944443e-09
0.02,35.0,6,2,0.9594703161976565,-0.1583908541946937,4.166186909995215e-09
0.02,35.0,6,3,1.0320026063528542,-0.1581360011799869,2.6000262443842462e-09
0.02,35.0,6,4,1.1036544445334238,-0.15956025844168562,4.386844486135893e-09
0.02,35.0,8,0,0.8091821724331499,-0.15993580973151708,8.046784203768878e-09
0.02,35.0,8,1,0.8851759040161237,-0.1592559130895632,6.990127942525094e-10
0.02,35.0,8,2,0.9594700111437762,-0.15839098636620133,1.5940995794037197e-09
0.02,35.0,8,3,1.03200237893015,-0.15813609406752827,2.4878751577971893e-09
0.02,35.0,8,4,1.1036542682149482,-0.1595603297264331,4.67785696094989e-09
0.02,35.0,10,0,0.8091821846412758,-0.15993580392002998,1.557522451666273e-08
0.02,35.0,10,1,0.8851759115788067,-0.15925591072438303,1.2743599686403928e-09
0.02,35.0,10,2,0.9594700158693459,-0.15839098547369806,5.37206038875415e-09
0.02,35.0,10,3,1.0320023821799842,-0.15813609347404947,2.631573981834352e-09
0.02,35.0,10,4,1.1036542701313212,-0.15956032926213237,3.0637391852348085e-09
0.02,40.0,6,0,0.7874742648709381,-0.14831872988220873,8.773714925803358e-09
0.02,40.0,6,1,0.8555613067729633,-0.1481800421191384,5.7857092478044795e-09
0.02,40.0,6,2,0.9226319748997367,-0.1478268037042447,6.450096764190572e-09
0.02,40.0,6,3,0.9886010197574387,-0.14756432990049587,3.894080283668748e-09
0.02,40.0,6,4,1.0536744749087912,-0.14796188529016832,3.4529057135787398e-09
0.02,40.0,6,5,1.1186715602780162,-0.1494710109477722,4.123735586522435e-09
0.02,40.0,8,0,0.7874738866449253,-0.14831893786703038,1.6061298244903615e-09
0.02,40.0,8,1,0.8555610362595986,-0.14818017907959574,3.885316872468005e-09
0.02,40.0,8,2,0.9226317765086959,-0.1478268998470239,1.0775651609371524e-08
0.02,40.0,8,3,0.9886008704749563,-0.14756440358610223,8.765796888084905e-09
0.02,40.0,8,4,1.0536743625775007,-0.14796194870407425,9.619157660839457e-09
0.02,40.0,8,5,1.1846312606497484,-0.15178154568800567,2.349884537069778e-08
0.02,40.0,10,0,0.7184779347204886,-0.14813320339934222,3.729765397632124e-08
0.02,40.0,10,1,0.7874738930320943,-0.14831893511012972,1.6615989348653542e-08
0.02,40.0,10,2,0.8555610398487457,-0.14818017759258328,7.244852488248413e-09
0.02,40.0,10,3,0.9226317786828766,-0.1478268988559453,4.634997757076148e-09
0.02,40.0,10,4,0.9886008716607751,-0.14756440263728776,5.416335045418232e-09
0.02,40.0,10,5,1.053674363967211,-0.14796194806746588,5.250997722596291e-09
0.02,40.0,10,6,1.1846312616708126,-0.15178154478251843,2.0361269031786304e-08
0.02,45.0,6,0,0.7081658187218559,-0.13616732816707178,5.545797229127707e-08
0.02,45.0,6,1,0.8319065267873826,-0.13670066367231334,5.411801026742655e-08
0.02,45.0,6,2,0.8928292500770736,-0.13667011541054316,2.081624610121215e-08
0.02,45.0,6,3,0.9530623310317025,-0.13657529978119753,1.0598122317307035e-08
0.02,45.0,6,4,1.012647194108727,-0.13666127814475768,5.99845434415166e-09
0.02,45.0,6,5,1.4368931844474366,-0.14033512737979192,1.4083217926504931e-08
0.02,45.0,8,0,0.7081655302285419,-0.13616749561153357,1.5573391845572525e-07
0.02,45.0,8,1,0.8319063761397048,-0.13670073905636818,3.44212092736617e-08
0.02,45.0,8,2,0.8928291379756701,-0.13667017155577546,4.172107607116285e-09
0.02,45.0,8,3,0.9530622466667107,-0.1365753479135356,2.212994981201533e-08
0.02,45.0,8,4,1.012647129052525,-0.13666131735287204,9.206609199991745e-09
0.02,45.0,8,5,1.4983360773821006,-0.13957191068948058,1.0950428576731929e-08
0.02,45.0,10,0,0.7081655344456663,-0.1361674931224974,4.06163213242453e-08
0.02,45.0,10,1,0.8319063783738287,-0.13670073795755744,2.26805305791136e-08
0.02,45.0,10,2,0.8928291402147569,-0.1366701714421976,2.3767464234241283e-08
0.02,45.0,10,3,0.953062247335851,-0.13657534771848426,1.684557915306463e-08
0.02,45.0,10,4,1.0126471299435065,-0.1366613175055373,1.1137300030399704e-08
0.02,45.0,10,5,1.436893184225999,-0.14033513662322783,2.681064252430069e-08
0.015,25.0,6,0,0.7736672631028659,-0.2081332724441292,4.519367180220115e-09
0.015,25.0,6,1,0.8762029291582676,-0.20507242414446372,7.215053084245497e-10
0.015,25.0,6,2,0.9739206753241193,-0.20099487575339228,3.458642851469539e-09
0.015,25.0,6,3,1.0658224827338554,-0.19939796017943737,1.0329131025492702e-09
0.015,25.0,6,4,1.1569933510978958,-0.20442466750355268,3.1255359116814093e-09
0.015,25.0,8,0,0.773659395108025,-0.20814012218866784,1.2438060297374791e-08
0.015,25.0,8,1,0.8761979483377228,-0.2050757030000633,8.828777139611198e-10
0.015,25.0,8,2,0.9739174285514189,-0.200996536544904,2.025535544624884e-09
0.015,25.0,8,3,1.0658202148104874,-0.19939877640072678,2.197349456602308e-09
0.015,25.0,8,4,1.156991600657271,-0.20442513270572923,2.3806263442107556e-09
0.015,25.0,10,0,0.7736597078662486,-0.20813983357419635,7.825994667576925e-09
0.015,25.0,10,1,0.8761981199942663,-0.20507560428467433,7.310066496113407e-09
0.015,25.0,10,2,0.9739175243321668,-0.20099650183966702,4.719079998262781e-09
0.015,25.0,10,3,1.0658202718538103,-0.19939876733609355,2.4080661797042785e-10
0.015,25.0,10,4,1.1569916376574965,-0.2044251306962705,5.0660457061690255e-09
0.015,30.0,6,0,0.7491631096827834,-0.18618834217638727,1.8032462881587197e-08
0.015,30.0,6,1,0.837483151597186,-0.18494939864266122,5.73915371812272e-09
0.015,30.0,6,2,0.9233001566609526,-0.18295494080520833,7.23721129542912e-09
0.015,30.0,6,3,1.0059603618437416,-0.18110091102538017,8.399181328597858e-09
0.015,30.0,6,4,1.0859787028521313,-0.1816664443557288,4.063458932158862e-09
0.015,30.0,8,0,0.7491596071073262,-0.18619112183424355,1.190981037120247e-08
0.015,30.0,8,1,0.8374808482889761,-0.1849508508123333,9.943684694389436e-09
