slot,median,p95,max
a1,1.5989223833834387e-12,7.772001792138994e-12,2.262279252818189e-11
a2,2.418340266929775e-08,1.1965376628397806e-07,3.531111497448896e-07
a3,6.41070529994181e-13,3.779143664672802e-12,9.93510829161437e-12
a4,2.7755575615628914e-17,8.326672684688674e-17,1.1102230246251565e-16
a6,4.526934382909076e-14,2.1067045677392038e-13,3.19935168722406e-10
a7,1.0504046341064388e-08,6.00148101180531e-08,3.8532133961322046e-07
a8,5.551115123125783e-17,1.6653345369377348e-16,2.7755575615628914e-16
a9,3.5866101755210877e-13,1.0693598784250469e-12,1.1680328926289008e-10
b1,5.551115123125783e-17,1.6653345369377348e-16,2.7755575615628914e-16
b2,8.6747969918477e-12,4.3948344963240515e-11,1.24257715228282e-10
b3,2.0813368716234632e-10,1.7727103974596244e-09,9.834188976429782e-08
b4,2.0648987258458947e-12,1.1779817647424198e-11,3.1031415116742557e-11
b5,1.1102230246251565e-16,2.7755575615628914e-16,4.440892098500626e-16
c1,1.009575756327763e-11,5.4166532370558684e-11,1.622837420001133e-10
c2,0.0,0.0,0.0
c4,1.539515043225137e-12,8.912211246769886e-12,2.3853807817886263e-11
c5,5.398459457239824e-13,3.226002798228933e-12,8.968270570619552e-12
c6,6.004918784441315e-13,3.727310127210615e-12,1.08177911073426e-11
d1,5.551115123125783e-17,1.6653345369377348e-16,2.7755575615628914e-16
d2,1.2502429647121005e-12,6.444213218603778e-12,1.826441775598653e-11
d3,5.279457426787815e-11,3.8395302215388227e-10,9.75650245859615e-08
d4,4.163336342344337e-17,9.020562075079397e-17,9.71445146547012e-17
e1,1.6026991128451965e-07,6.310923741231766e-07,4.1328654482863936e-06
e2,3.465800563207111e-12,1.611760204467405e-11,4.637996930956234e-11
e4,3.263736747527446e-08,1.429778953010441e-07,6.094288656638414e-07
v1,0.0,1.8107492463359447e-16,2.0399186566992306e-16
v2,0.0,0.0,0.0
v3,0.0,0.0,0.0
v4,0.0,0.0,0.0
v5,0.0,0.0,0.0
v6,0.0,0.0,0.0
v7,0.0,0.0,0.0
v8,0.0,0.0,0.0
v9,0.0,1.9062497934286363e-16,2.0687320951514704e-16
v10,2.7755575615628914e-17,8.326672684688674e-17,8.326672684688674e-17
v11,0.0,0.0,0.0
v12,0.0,0.0,0.0
v13,0.0,0.0,0.0
F_tensor,0.0,0.0,0.0
G_tensor,0.0,0.0,0.0
H_tensor,0.0,0.0,0.0
mu,2.3217497702402963e-12,1.3672322424400147e-11,3.438130263629659e-11
K_scalar,4.62062086136264e-08,2.483884066757473e-07,1.4557856296039395e-06
