window,degree,identity,median_scaled_rel,p95_scaled_rel,max_scaled_rel
7,6,f3,1.8554608745885939e-06,8.431549310285952e-06,1.8605932003897847e-05
7,6,f3X,2.804363299500574e-06,1.2944774300627943e-05,0.00016999457399513584
7,6,f4,2.425305866431121e-06,6.9043115702585445e-06,1.4113874505503955e-05
7,6,N4,3.097097598814845e-06,7.52930656075257e-06,1.541903755296352e-05
7,6,f4XX,2.724768408714204e-11,1.041865114789201e-10,2.446105420200687e-10
7,6,f2,2.95455440936348e-06,2.8854534628700013e-05,0.00022656533074772914
7,6,f2X,5.464329273267039e-07,5.032706089463846e-06,1.0389584568123444e-05
9,6,f3,1.7980859755232794e-05,9.173947341035504e-05,0.00020530897304044107
9,6,f3X,2.6765011056297823e-05,0.000132650096774267,0.002015232002893219
9,6,f4,2.306252968129848e-05,7.723379959083758e-05,0.0001557826934271239
9,6,N4,2.9803625426232226e-05,8.536582117711671e-05,0.00017013177997363233
9,6,f4XX,2.0282431300809265e-10,7.599423531149724e-10,1.6992332322264878e-09
9,6,f2,2.9569116837581065e-06,2.8750672824992404e-05,0.00022654390145479056
9,6,f2X,5.266593083133447e-06,5.237380308274983e-05,0.00011924640339924096
9,8,f3,9.79440909373854e-07,4.243020487070057e-06,6.888534907223829e-06
9,8,f3X,1.2984224306599142e-06,6.59782661635128e-06,8.699725501528864e-05
9,8,f4,1.1847210438219517e-06,3.5183017668390235e-06,5.309982235784581e-06
9,8,N4,1.4812885171477626e-06,3.89908023273974e-06,5.73459211185687e-06
9,8,f4XX,7.999621690032573e-12,3.0557983435917134e-11,7.092260794950337e-11
9,8,f2,2.9572458793588323e-06,2.879255445564363e-05,0.00022656793943055153
9,8,f2X,2.875038201241109e-07,2.4916722568636402e-06,4.739505196874613e-06
11,8,f3,1.2840721380974554e-05,6.286779528947248e-05,0.00014214009793345599
11,8,f3X,1.9727174648184996e-05,9.754955963427719e-05,0.0013238742578555451
11,8,f4,1.6654147571983225e-05,5.230226271866872e-05,0.00010785102463700767
11,8,N4,2.1462643949333024e-05,5.829994699997351e-05,0.00011780006223930494
11,8,f4XX,1.856056860588961e-10,7.126452388910471e-10,1.6595105697927299e-09
11,8,f2,2.9574591955931216e-06,2.87708196239318e-05,0.0002265500932447425
11,8,f2X,3.8273313422168965e-06,3.720469476274633e-05,8.013089595827825e-05
11,10,f3,1.598879689615912e-06,7.993186209062448e-06,1.6657421570993822e-05
11,10,f3X,2.2841958238230038e-06,1.230709596701291e-05,0.00019026863390114723
11,10,f4,2.036174996360261e-06,6.765148098108083e-06,1.2642452562439948e-05
11,10,N4,2.5832737576982007e-06,7.382387928113145e-06,1.3801870590516285e-05
11,10,f4XX,1.0987314343237819e-11,4.1978571460377686e-11,8.818576448245495e-11
11,10,f2,2.957199697993154e-06,2.8811354890963546e-05,0.00022656949665701896
11,10,f2X,4.771184533860566e-07,4.785454284509438e-06,1.0122638279426756e-05
13,10,f3,1.050542573488256e-05,4.706056411238107e-05,0.00010478300763493579
13,10,f3X,1.5204986184207292e-05,7.350002365365419e-05,0.0009346097779319718
13,10,f4,1.3781533509093172e-05,3.853873432210747e-05,7.950566501447981e-05
13,10,N4,1.76133586387067e-05,4.191357091776484e-05,8.686225210818464e-05
13,10,f4XX,1.749961533845844e-10,6.559953273474987e-10,1.5961218825147649e-09
13,10,f2,2.9548809993507645e-06,2.8742490377015846e-05,0.00022655515463369962
13,10,f2X,3.202818379208355e-06,2.8354639757391994e-05,5.852520812962278e-05
