slot,center,dcminus_dp,dc55_dp,dc56_dp
c4,0.657,0.0,0.0,0.0
c4,0.667,0.0,0.0,0.0
c4,0.677,0.0,0.0,0.0
c4,0.687,0.0,0.0,0.0
c4,0.696,-16.1023393737878,277.06249442860553,-295198.0283167213
c4,0.703,-14.818845597119434,251.62446819422257,-268634.99494222924
c5,0.657,0.0,0.0,0.0
c5,0.667,0.0,0.0,0.0
c5,0.677,0.0,0.0,0.0
c5,0.687,0.0,0.0,0.0
c5,0.696,73.21531444029006,75.07485980238471,135103.7558875978
c5,0.703,-256.328414377208,-264.0477358587532,-471905.4295835085
d3,0.657,0.0,0.0,0.0
d3,0.667,0.0,0.0,0.0
d3,0.677,0.0,0.0,0.0
d3,0.687,0.0,0.0,0.0
d3,0.696,-0.02746157622368628,0.09129663419571443,-158.6988097988069
d3,0.703,-0.024860637381607376,0.08264976611371821,-143.66815029643476
e4,0.657,0.0,0.0,0.0
e4,0.667,0.0,0.0,0.0
e4,0.677,0.0,0.0,0.0
e4,0.687,0.0,0.0,0.0
e4,0.696,14.06843167990246,-241.42568290403688,257324.08602698706
e4,0.703,12.735997274603506,-218.55982433407917,232952.802533051
v13,0.657,0.0,0.0,0.0
v13,0.667,0.0,0.0,0.0
v13,0.677,0.0,0.0,0.0
v13,0.687,0.0,0.0,0.0
v13,0.696,194.63090558485874,-3332.790168384463,3552793.4022217523
v13,0.703,175.12473781278004,-3013.6397521690697,3210230.6284776423
v5,0.657,0.0,0.0,0.0
v5,0.667,0.0,0.0,0.0
v5,0.677,0.0,0.0,0.0
v5,0.687,0.0,0.0,0.0
v5,0.696,0.0,-4.547473508864641e-10,6.984919309616089e-07
v5,0.703,-1.1368683772161603e-10,-1.1368683772161603e-10,4.6566128730773926e-07
a9,0.657,0.0,0.0,0.0
a9,0.667,0.0,0.0,0.0
a9,0.677,0.0,0.0,0.0
a9,0.687,9.424638847121969e-08,9.72022462519817e-08,0.0001739244908094406
a9,0.696,-491.16437520603995,-508.2103563433975,-902199.4404261932
a9,0.703,750.7763132249465,770.1915942018331,1385102.3149138782
