slot,center,d_cminus,d_c55,d_c56,d_cplus,d_disc
c4,0.657,0.0,0.0,0.0,4.452880156122774,763.1578373161574
c4,0.667,0.0,0.0,0.0,1.144286643182113,0.0
c4,0.677,0.0,-0.0368480823453865,0.0,0.0,0.0
c4,0.687,0.0,22.77630985304313,0.0,0.0,0.0
c4,0.696,-16.1021838346187,14.80152287740566,-295193.34848970175,0.0,0.0
c4,0.703,-14.818676038430567,0.0,-268630.9712729417,0.0,0.0
c5,0.657,0.0,0.0,0.0,-9.623793891080368,-1868.2564897017073
c5,0.667,0.0,0.0,0.0,-12.64158039589347,0.0
c5,0.677,0.0,176.25798348149146,0.0,0.0,0.0
c5,0.687,0.0,-0.8464738755264989,0.0,0.0,0.0
c5,0.696,73.21535908772603,-371.93338712199875,135103.75691577792,0.0,0.0
c5,0.703,-256.3277717592882,0.0,-471905.428818427,0.0,0.0
d3,0.657,0.0,0.0,0.0,0.4839133379874738,40.156385571208375
d3,0.667,0.0,0.0,0.0,0.0124706441795297,0.0
d3,0.677,0.0,0.011261862482569995,0.0,0.0,0.0
d3,0.687,0.0,0.3175446499881218,0.0,0.0,0.0
d3,0.696,-0.02746153882071667,0.18154921008317615,-158.6986961774528,0.0,0.0
d3,0.703,-0.02486060566297965,0.0,-143.6680625192821,0.0,0.0
e4,0.657,0.0,0.0,0.0,-41.71278047181204,-1108.9736154804086
e4,0.667,0.0,0.0,0.0,-1.0749645120711193,0.0
e4,0.677,0.0,-1.7887459830490116,0.0,0.0,0.0
e4,0.687,0.0,-50.43629213332679,0.0,0.0,0.0
e4,0.696,14.068557007931304,-28.83584724713728,257327.66847591847,0.0,0.0
e4,0.703,12.736099987478156,0.0,232955.7385155931,0.0,0.0
v13,0.657,0.0,0.0,0.0,-111.1358584108757,5307.621576728252
v13,0.667,0.0,0.0,0.0,9.271534925971991,0.0
v13,0.677,0.0,-18.71238814260323,0.0,0.0,0.0
v13,0.687,0.0,-373.5721275359083,0.0,0.0,0.0
v13,0.696,194.72057372809104,-202.08183804470536,3554661.3025595434,0.0,0.0
v13,0.703,175.19605395023063,0.0,3211751.643877942,0.0,0.0
v5,0.657,0.0,0.0,0.0,-2.1316282072803006e-09,1.134594640461728e-06
v5,0.667,0.0,0.0,0.0,-6.0396132539608516e-09,0.0
v5,0.677,0.0,-3.410605131648481e-09,0.0,0.0,0.0
v5,0.687,0.0,-5.6843418860808015e-09,0.0,0.0,0.0
v5,0.696,1.1368683772161603e-09,-3.410605131648481e-09,6.984919309616089e-06,0.0,0.0
v5,0.703,-1.1368683772161603e-09,0.0,4.656612873077393e-06,0.0,0.0
a9,0.657,0.0,0.0,0.0,106.93526926161212,17969.02434247386
a9,0.667,0.0,0.0,0.0,121.9334286047058,0.0
a9,0.677,0.0,-996.6370183281015,0.0,0.0,0.0
a9,0.687,0.0,-431.7392073858173,0.0,0.0,0.0
a9,0.696,-491.2867937275678,1822.0377896466289,-902429.9127841368,0.0,0.0
a9,0.703,750.6322510687369,0.0,1384828.2644851133,0.0,0.0
