c4,a1,T,cm,cp,c55,c56,disc,K6,K1000,violation
-40,0.3,0.3,-568.2889948352838,13.039103973978527,-484.54790548959113,-442724.00314418244,251.5623784733325,0.005961190159900215,4.381015194924757e-07,1.0738676619007077
-40,0.4,0.75,-584.5583543205867,51.35926291238675,-444.76267947375,-392815.83192061685,196.04632999344267,-0.0032631074150916125,-2.076764197854218e-07,1.0870209007859188
-40,0.3,0.45,-594.3751183382684,27.888627119354,-485.47457811608456,-416444.55585641856,245.3098291175802,0.010843314592292276,8.251383254682716e-07,1.09056736640021
-40,0.3,0.6,-615.1834641051171,37.187100905614074,-490.57177091845176,-392519.68397732254,253.45486571201127,0.016179853168554983,1.248313890326726e-06,1.1124389909742467
-40,0.3,0.15,-535.5966077378773,-11.95402933903216,-491.18574045646517,-473133.1950888086,67.42041109664075,0.0018353514617415292,1.250052335431504e-07,1.1275416459512182
-40,0.3,0.75,-631.8092988944245,38.22122261113937,-496.19920489996366,-370507.17597630393,248.35095798826114,0.021741468014182235,1.6809949408013283e-06,1.132570912491901
-30,0.4,0.75,-597.4558225685615,60.64036504759166,-438.16337034963726,-442628.0029803615,503.1125590137217,-0.0032631074150916125,-2.076764197854218e-07,1.13556591925658
-30,0.3,0.45,-611.8168108405545,42.96748266481856,-479.4988193457744,-496202.9396895167,605.2490492732659,0.010843314592292276,8.251383254682716e-07,1.1775632689060658
-30,0.3,0.6,-631.3545987696293,48.62500235366088,-488.0349000432982,-453195.62522112194,551.6641568971845,0.016179853168554983,1.248313890326726e-06,1.1835733746558814
-30,0.3,0.3,-587.1341918974356,33.42373972213974,-471.27870647985213,-553357.7025875483,640.3012298143112,0.005961190159900215,4.381015194924757e-07,1.1850657840284597
-30,0.3,0.75,-646.8626683523719,47.26193341433991,-496.14827561514136,-418316.8193030648,520.989716011677,0.021741468014182235,1.6809949408013283e-06,1.193944524344227
-20,0.4,0.75,-610.4720589709111,60.463489945573286,-433.2660672349844,-494385.2783657182,779.9359885083359,-0.0032631074150916125,-2.076764197854218e-07,1.1947643852454988
-40,0.2,0.15,-599.3376542993818,-9.468054004078951,-540.167125988284,-389091.48448713886,22.953277112678045,0.01924045071748801,1.675393900879813e-06,1.2261839922515805
-30,0.3,0.15,-555.8790693321346,17.198547478082844,-464.99678164063045,-641969.4135550063,426.08256509110805,0.0018353514617415292,1.250052335431504e-07,1.2348775122229534
-40,0.2,0.3,-629.0356513035265,10.668488744120523,-538.6935077770936,-392974.95735519554,248.1321923243488,0.02659396012228661,2.2771804604435965e-06,1.2351562760639259
-20,0.3,0.75,-662.0411702530853,55.204675958658775,-496.09734633029865,-468112.09587980574,832.199100761095,0.021741468014182235,1.6809949408013283e-06,1.2625087726639042
-10,0.4,0.75,-623.587617820815,59.626693940314,-429.66310563819314,-548087.658076686,933.3523015428509,-0.0032631074150916125,-2.076764197854218e-07,1.264384512782946
-20,0.3,0.6,-647.6948513869713,56.6545506928666,-485.49802916814525,-516695.6613120319,959.1914250074942,0.016179853168554983,1.248313890326726e-06,1.265923704669239
-40,0.2,0.45,-651.6328518266689,22.72631636274906,-540.172156528271,-384237.0198414128,222.80243321863145,0.03391225997403387,2.832729287214269e-06,1.267348492031595
-20,0.3,0.45,-629.4908055082437,56.63342967686327,-473.5230605754516,-580172.353936041,1033.3190962604922,0.010843314592292276,8.251383254682716e-07,1.2834083814706696
-40,0.2,0.6,-668.9336766309871,29.618529244801017,-542.9337486067243,-370387.5223498235,227.30666838748562,0.04104327709729127,3.337469168656367e-06,1.291207637505829
-40,0.2,0.75,-682.2258643139758,29.556907237969998,-546.1191524973555,-354619.9205148639,219.32022551312184,0.04790848891036041,3.794465377344326e-06,1.3090284246772013
-30,0.2,0.15,-624.0318966299068,13.82912784259969,-528.6788596405588,-530286.7420654426,325.7505731790016,0.01924045071748801,1.675393900879813e-06,1.3323751766980756
-20,0.3,0.3,-606.3053722918146,51.159647917124715,-460.4019946566543,-670709.1038535219,1189.427156542275,0.005961190159900215,4.381015194924757e-07,1.3362773522922158
-10,0.3,0.75,-677.3251718629162,53.25397091599275,-497.9187711926917,-519893.0057065028,917.8635117127606,0.021741468014182235,1.6809949408013283e-06,1.3426362141451158
-30,0.2,0.3,-651.3040407405396,26.80345611087941,-532.6012113420162,-492606.0411005763,517.9807803568092,0.02659396012228661,2.2771804604435965e-06,1.3452668794517455
-30,0.2,0.45,-671.8556304006033,34.58902062328707,-538.9245014821754,-458793.44671642815,492.58337243677715,0.03391225997403387,2.832729287214269e-06,1.3604969318915707
-30,0.2,0.0,-587.477070920844,-9.296091053318719,-528.3328646279779,-578929.7602326446,15.79711298585653,0.012129871810664923,1.0514337918997166e-06,1.365476679457399
-10,0.3,0.6,-664.172546913921,57.58503955134509,-485.6784737432511,-583019.7922500228,1146.7218537579465,0.016179853168554983,1.248313890326726e-06,1.3659061169583735
-30,0.2,0.6,-687.4484044638909,36.87846038046651,-545.2916505404926,-428351.8440351797,481.26924400008056,0.04104327709729127,3.337469168656367e-06,1.3737463717587513
-30,0.2,0.75,-699.3103720939839,36.59948851732101,-550.7731649824578,-400933.6022968694,464.6690241867209,0.04790848891036041,3.794465377344326e-06,1.383578497966778
-10,0.3,0.45,-647.3438773929494,64.31779038270453,-470.8750833863621,-668352.7985960274,1438.9480722530297,0.010843314592292276,8.251383254682716e-07,1.4165428194201657
-40,0.1,0.15,-672.8298243279341,-7.812993583126101,-600.8378052129414,-345091.80214719276,1.427392815339784,0.04467266084148416,4.761925916694884e-06,1.4391414322501204
-40,0.1,0.3,-696.7556487589305,9.072642063480657,-596.8385694238091,-363024.1405518,201.30402188912626,0.0552237920426012,5.235795530391964e-06,1.458102268218158
-20,0.2,0.75,-716.5237222348385,43.759214376980125,-556.0517736255795,-449249.3915807586,766.3178983793214,0.04790848891036041,3.794465377344326e-06,1.4666671814406829
-20,0.2,0.6,-706.1424542684845,44.3151293840198,-549.237941684995,-489137.02511089144,804.2515552966534,0.04104327709729127,3.337469168656367e-06,1.4704938492837305
-20,0.2,0.45,-692.3349867543104,44.65343010196072,-541.0254694129296,-537497.0737312341,871.6308439121149,0.03391225997403387,2.832729287214269e-06,1.4780301439056291
-40,0.1,0.45,-714.0880977892679,19.21189869448216,-597.148554770457,-363173.16989408224,183.00482943451811,0.0667014859012092,5.638860994914045e-06,1.4891551915534038
-20,0.3,0.15,-576.6318485502628,41.828138813082035,-446.8602891896698,-822760.9100612168,1340.914716289386,0.0018353514617415292,1.250052335431504e-07,1.4949532453286132
-20,0.2,0.3,-673.9553094195119,40.434632737172024,-531.2908484712315,-598696.721457364,946.7308824210631,0.02659396012228661,2.2771804604435965e-06,1.4952591151241723
-40,0.1,0.6,-726.6834357172693,23.269861948105863,-597.8145430348626,-355085.38486129354,189.68843600694686,0.07469108802035934,5.989272550899594e-06,1.5073739255415737
-40,0.1,0.75,-735.7992200922897,23.47963140381894,-598.5035759596419,-343183.27375288616,188.34489709474428,0.0817175376631965,6.29976401291719e-06,1.517204164460278
-30,0.1,0.0,-671.2974445595253,-7.566372025531905,-597.7647769544319,-468448.449840878,29.199648224751492,0.03502520153237608,4.190654178102681e-06,1.5279200015651062
-10,0.3,0.3,-625.708185845722,66.76152445326872,-452.9981311657648,-794778.2069421259,1789.9007783680518,0.005961190159900215,4.381015194924757e-07,1.5338094053325997
-20,0.2,0.15,-649.3394047399056,32.93670866074146,-520.0219026208822,-682430.3358951206,1035.7689982857992,0.01924045071748801,1.675393900879813e-06,1.5381396486230843
-30,0.1,0.15,-700.9806625641988,11.603036992590091,-597.0983347292,-471051.62236367044,418.2775068254466,0.04467266084148416,4.761925916694884e-06,1.5561290036551874
-10,0.2,0.75,-733.8465501234292,49.00299669382554,-561.330382268731,-499567.2883665947,920.4732046897602,0.04790848891036041,3.794465377344326e-06,1.5574647504855093
-10,0.2,0.6,-724.9838979293444,51.354989387470454,-553.1842328295056,-552743.0655769944,1092.4842377718442,0.04104327709729127,3.337469168656367e-06,1.5789317343396023
-30,0.1,0.3,-721.8867508428923,22.383707849234185,-599.2810838415257,-455614.2205011679,407.79964319457827,0.0552237920426012,5.235795530391964e-06,1.5838772578209737
-30,0.1,0.45,-736.7567493276646,28.90067270971184,-601.6003393729319,-434096.4129200696,404.7198155898702,0.0667014859012092,5.638860994914045e-06,1.597194427666163
-30,0.1,0.75,-754.7963811008386,28.90615756114703,-605.4475149720893,-388352.06537917675,385.4617125257196,0.0817175376631965,6.29976401291719e-06,1.60226765254669
-30,0.1,0.6,-747.3406429562663,29.100937115020646,-603.7076464546446,-411047.3688948083,407.63975652198405,0.07469108802035934,5.989272550899594e-06,1.602290262163989
-10,0.2,0.45,-713.0155123447419,52.44148949587654,-543.1264373437018,-620347.900885861,1267.2077564655729,0.03391225997403387,2.832729287214269e-06,1.6144877893262914
-40,0.4,0.6,-565.4365836654697,47.87406363274644,-438.4343842641722,-425201.4362114255,196.70824810152408,-0.008061306012923911,-4.5407320098031867e-07,1.6208739686811062
-20,0.2,0.0,-616.0168131987908,19.69852889527914,-508.71107944564676,-821555.9984927076,791.6678328935805,0.012129871810664923,1.0514337918997166e-06,1.6715806870656809
-30,0.4,0.6,-579.050885747346,62.92886752258811,-427.70374876920715,-489684.7462610786,531.151342876532,-0.008061306012923911,-4.5407320098031867e-07,1.68013737123873
-10,0.2,0.3,-696.8860381768179,52.108917794969415,-530.773237017941,-711246.9984256176,1430.1511163494097,0.02659396012228661,2.2771804604435965e-06,1.6803796225748941
-20,0.1,0.75,-773.9239366669212,34.97610549812399,-613.7915632837712,-435522.7943766564,659.6505809633727,0.0817175376631965,6.29976401291719e-06,1.6979920586514425
