key,step,dcm,dcp,dc55,dc56,ddisc,dK6,dK12,dK20,dK42,dK110,dK420,dK1000
c4_g,0.001,-1.8638089857176965,2.1281462111346627,1.7100313971241121,-10727.51844295999,42.63232426274044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T_g,0.001,-194.20494902578866,122.66625482591564,15.845524424776158,185299.24469528487,813.5952580341836,0.030394300979792732,0.011088398753320104,0.004674823645395786,0.0012045009165178027,0.00018895554191222292,1.3406415717705658e-05,2.381472551983623e-06
a1_g,0.001,572.2376445778536,29.535245335736704,523.8626338854715,-648024.6809492237,594.0606644971922,-0.15359364936307768,-0.05643525081490842,-0.02384526290464292,-0.006152573654372395,-0.0009658635146218424,-6.853602654799717e-05,-1.2174434470585379e-05
c2_g,0.001,-0.00017426600606995635,-6.835421118012164e-08,-0.00020577613213390578,-0.1331418752670288,-0.00031083982321433723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c4_i,0.001,-1.8638089908336042,2.1281462111488736,1.7100313971241121,-10727.518446918111,-1624.6866197488998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T_i,0.001,-194.20518352944782,122.66625484474503,15.845325773511831,185299.06567413127,-116284.73062134707,0.03039430738881882,0.011088400677693958,0.004674823639556707,0.0012045009436488778,0.00018895554367340093,1.340641576866316e-05,2.3814725498152186e-06
a1_i,0.001,572.2374776250945,29.535245092546347,523.8628709632849,-648024.8088233639,15736.50906932835,-0.15359364904627207,-0.05643525119337998,-0.02384526289272537,-0.00615257369546626,-0.0009658635121238406,-6.853602655417712e-05,-1.2174434469826438e-05
c2_i,0.001,-0.00017426600606995635,-6.835421118012164e-08,-0.00020577613213390578,-0.1331418752670288,-0.0013671215128852054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c4_j,0.001,-1.8638089908336042,2.1281462111488736,1.7100313971241121,-10727.518446918111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T_j,0.001,-194.20518352944782,122.66625484474503,15.845325773511831,185299.06567413127,0.0,0.036356482126808504,0.021795042101784966,0.00999811086014365,0.002682044761974562,0.00042734638823190094,3.0481281444693284e-05,5.419894802815436e-06
a1_j,0.001,572.2374776250945,29.535245092546347,523.8628709632849,-648024.8088233639,0.0,-0.861300821588789,-0.3131488792948204,-0.13060251419313723,-0.033201086759338326,-0.0051568230660144244,-0.00036397969893500417,-6.45828343878454e-05
c2_j,0.001,-0.00017426600606995635,-6.835421118012164e-08,-0.00020577613213390578,-0.1331418752670288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
