name,value
a1_0.645,0.0
a1_0.657,0.0
a1_0.669,0.0
a1_0.681,0.0
a1_0.691,0.0
a1_0.699,0.0
a1_0.705,0.0
c2_0.645,0.0
c2_0.657,0.0
c2_0.669,0.0
c2_0.681,0.0
c2_0.691,0.0
c2_0.699,0.0
c2_0.705,0.0
c4_0.645,0.0
c4_0.657,0.0
c4_0.669,0.0
c4_0.681,0.0
c4_0.691,0.0
c4_0.699,0.0
c4_0.705,0.0
F_tensor_0.645,0.0
F_tensor_0.657,0.0
F_tensor_0.669,0.0
F_tensor_0.681,0.0
F_tensor_0.691,0.0
F_tensor_0.699,0.0
F_tensor_0.705,0.0
GH_0.645,0.0
GH_0.657,0.0
GH_0.669,0.0
GH_0.681,0.0
GH_0.691,0.0
GH_0.699,0.0
GH_0.705,0.0
